start	end	text
0	2000	Isn't this something that's supposed to be heard?
2000	3500	Yatlu a'adayhim a'ayati?
3500	5000	You're not wondering about it.
5000	6500	You're not being brought close.
6500	8000	You're not reaching conviction.
8500	10000	This is our first failure.
10000	11000	When we say,
11000	13000	Oh, the ummah is going in a bad direction.
13000	13500	What do we do?
13500	15500	Well, the prophet was given a formula.
15500	17000	Here's step one.
17000	18500	But I want step 17.
19000	19500	No.
20000	21000	Step one.
21500	24000	Yatlu a'adayhim a'ayati.
24500	26000	The Prophet
29500	31500	So we did me and Finn,
31500	33000	Fee and Min.
33000	36000	But I will tell you now a little bit about the...
36000	37500	I'll introduce this now,
37500	39000	but we'll go into detail tomorrow,
39000	40000	inshallah.
40000	42000	And that is
42000	45500	that Allah chose a nation
45500	48000	since the time of Musa A.S.
48000	51500	He chose a nation to be the carriers of His word.
51500	53500	That was the sons of Israel.
53500	55500	He chose them and he gave them his book,
55500	56500	at Ta'urat.
57000	59500	And they were chosen and given preference
59500	61500	over all other nations in the world.
61500	63500	This is what the Quran itself tells us.
63500	64500	Okay?
64500	66000	We fadladnaakum ale ala alameen.
66000	69000	We gave you preference over all other nations.
69000	71500	No other nation had this many prophets.
71500	73500	No other nation had this many chances
73500	76500	to live by and demonstrate the truth of Allah's book.
77500	79000	Over time,
79000	80500	not all the Israelites,
80500	81500	but a group among them,
81500	84500	developed a certain kind of superiority complex.
85000	86000	Okay?
86000	87500	Now this is really important.
87500	89000	We hate it
89000	92500	when somebody quotes something from the Quran
92500	93500	and says,
93500	95500	all these Muslims, this is what they believe.
95500	96500	You see?
96500	98500	It says, like, some of our, you know,
98500	99500	back home,
99500	101500	ah, these Muslims.
101500	103500	Look at what it says in their Quran.
103500	106500	It says, kill them wherever you find them.
106500	108500	This is what they believe.
108500	111500	They want to kill you wherever they find you.
111500	114500	It says it right here in your book.
115500	117500	We hate that because we know
117500	118500	that's,
118500	120500	you're taking it out of context.
120500	121500	You don't know what that means.
121500	123500	And you could have just asked one of us,
123500	126500	but you would rather quote something out of place,
126500	128500	and then we get really offended.
128500	132500	We shouldn't do that to their books.
132500	135500	Because we hate it ourselves.
135500	137500	We shouldn't take one quote from the Bible here,
137500	138500	one quote from the Bible saying,
138500	139500	look at what these people believe.
139500	141500	Look at what's in their book.
141500	143500	Look at, no, no, that's not fair.
143500	144500	That's not fair.
144500	147500	And when some Muslims do something bad,
147500	150500	and they say all Muslims are like this,
150500	152500	we hate it.
152500	157500	But if some Jews or some Christians do something wrong,
157500	160500	and we take the sum and say what?
160500	162500	All Christians are like this.
162500	163500	We hate it.
163500	165500	Is that justice?
165500	166500	Is that fair?
166500	168500	Is that a double standard?
168500	170500	We should be people of justice.
170500	173500	The Quran is actually extremely just
173500	176500	in the way it deals with the Christians and the Jews.
176500	178500	And our relationship with the Jews
178500	180500	and our relationship with the Christians
180500	182500	is very interesting in the Quran.
182500	183500	It's not one relationship.
183500	185500	It's multiple relationships.
185500	187500	It's not one relationship.
187500	188500	On the one hand,
188500	192500	one of the audiences of the Quran are the rabbis
192500	193500	and the priests.
193500	195500	That's one specific audience.
195500	197500	They're called Ahlul Kitab in the Quran.
197500	199500	Allah talks to them and says what?
199500	200500	Ahlul Kitab.
200500	203500	And that's referring not to all Christians
203500	204500	and all Jews.
204500	205500	Who's it referring to?
205500	207500	The rabbis and the priests.
207500	209500	Our religion, the book,
209500	211500	targeted the most knowledgeable people
211500	212500	in their religion
212500	214500	and had a conversation with them.
214500	216500	That's number one.
216500	218500	Another audience in the Quran
218500	220500	is the historical Jews
220500	222500	and the historical Christians,
222500	226500	some of them who made some very serious mistakes.
226500	228500	And he criticizes the some of them
228500	229500	that made very serious mistakes.
229500	231500	By the way, in Islamic history,
231500	232500	since the Prophet Sallallahu Alaihi Wasallam,
232500	234500	are there some Muslims and Muslim nations
234500	237500	and governments that made very serious mistakes?
237500	238500	Yeah.
238500	240500	Now, though, what we like to do
240500	241500	when we talk about Islamic history,
241500	243500	we talk about Salah-e-Din.
243500	245500	Like, we talk about Rasul Sallallahu Alaihi Wasallam,
245500	247500	Abu Bakr, Omar,
247500	249500	Othman, Ali-Radiullah, and Amr.
249500	251500	Okay, golden years, fast forward.
251500	254500	Salah-e-Din, fast forward right now.
254500	257500	And all the chapters of Islamic history
257500	259500	that are not so glorious,
259500	261500	where we did not so nice things,
261500	264500	where we may have committed some part of genocide,
264500	266500	or we may have colluded and done something wrong,
266500	268500	we kind of
268500	270500	skip those chapters and say,
270500	271500	You're unmar.
271500	273500	You say, beautiful.
273500	276500	I have to get the unmar back.
276500	277500	And you're like,
277500	279500	Yes, unmar.
279500	281500	Even though you don't...
281500	282500	Can you tell me the history of the Oman
282500	283500	the last 200 years?
283500	286500	300, 400, 500, 600, 700, 800 years?
286500	288500	Can you tell me?
288500	289500	Can you tell me what the rule was like?
289500	290500	Can you tell me what...
290500	293500	You know, no, no, no, but overall, we were good.
293500	295500	Overall, they were bad.
295500	297500	Overall, we were good.
297500	298500	You know what that is?
298500	300500	That's delusional thinking.
300500	301500	And that's dishonesty.
301500	303500	That's intellectual dishonesty.
303500	307500	The Israelites had an issue.
307500	308500	Some of them.
308500	313500	They looked at their history and only focused on the good parts.
313500	316500	Oh, look, we are the people of Ibrahim,
316500	317500	we're the people of Musa,
317500	318500	we're the people of this,
318500	319500	we're the people of this.
319500	320500	Allah spoke to us on the mountain.
320500	321500	We're so special because of this reason,
321500	324500	this reason, this reason, this reason, this reason.
324500	326500	And what did they skip?
326500	328500	The embarrassing parts of their history.
328500	330500	They skipped those parts.
330500	331500	Not all of them did this,
331500	332500	but some of them did this.
332500	335500	By the way, does that sound like a familiar disease?
335500	338500	The Muslims have selective citation of history?
338500	342500	Did we develop our psychology based on selective chapters of history?
342500	343500	Yeah.
343500	346500	Why is the Prophet telling us you're going to become like them?
346500	348500	Same.
348500	350500	And then what does Allah do in the Quran?
350500	352500	Especially in Surat Al-Baqara.
352500	357500	He highlights a part of their history that they don't like to talk about.
357500	361500	He highlighted the ugly chapters of Israelite history.
361500	362500	And that even said,
362500	364500	Well, ya'af, anka thir, and by the way,
364500	366500	there's a lot that I'm skipping.
366500	368500	There's a lot more,
368500	371500	but this should be enough for you to get the point.
371500	374500	There's a lot more dirty laundry.
374500	375500	But why was Allah doing this?
375500	378500	It was not to humiliate the Israelites.
378500	380500	It was actually to teach Muslims something,
380500	381500	which is what?
381500	384500	Be honest with yourselves.
384500	386500	And then the other part of the Israelite history,
386500	387500	in the Quran,
387500	390500	so we've got the rabbis and the priests being talked to,
390500	392500	selective history being addressed.
392500	393500	Among some of them,
393500	397500	the third, there are heroes in Israelite history.
397500	399500	That are our heroes.
399500	401500	Not just their prophets.
401500	405500	وَكَأَيْمِ النَّبِيْنْ قَاتَلَمَ عَهُرِ بِيْوْنَا كَثِيرْ
405500	408500	When Muslims were about to go into the battle of Uhud,
408500	410500	you know who their inspiration was in the Quran?
410500	413500	Those who fought alongside the Israelite prophets.
413500	415500	Who were they?
415500	417500	The Israelites.
417500	418500	The Jews of that time.
418500	421500	They were be considered the Muslims of that time.
421500	424500	And they are our inspiration in the Quran.
424500	425500	Actually.
425500	427500	So what I'm saying is,
427500	430500	we think that the Quran paints one stroke,
430500	432500	one picture of who the Jews are,
432500	435500	one picture of who the Christians are in the Quran.
435500	437500	That is absolutely not the case.
437500	441500	In some places of certain groups, highly critical.
441500	444500	In some places of certain groups, praising.
444500	446500	And in the current times,
446500	448500	the Muslims would be like,
448500	450500	No, we know something about the historical Jews.
450500	452500	Some of them were praiseworthy.
452500	454500	Some of them were criticism worthy.
454500	456500	But what about the Jews we're living with in Medina?
456500	457500	What about them?
457500	458500	Allah says,
458500	461500	وَمَنْهُمْ مَنْ اِنْتَ مَنْهُبِقِنْطَارِنْ يُؤْدِّهِ لَيْكَ
461500	464500	وَمَنْهُمْ مَنْ اِنْتَ مَنْهُبِدِيْنَارِ لَيْوَدِّهِ لَيْكَ
464500	466500	Among them are people,
466500	470500	if you trusted them with piles and piles of wealth,
470500	473500	they will give it back to you 100%.
473500	475500	And among them, there are those,
475500	477500	if you give them even one penny,
477500	480500	they will not give it back to you.
480500	482500	And the second group,
482500	483500	so the first one,
483500	486500	and by the way, he mentioned the honest ones first.
486500	489500	He prioritized the honest ones.
489500	490500	He even said about them,
490500	492500	وَمَا يَفْعَلُوا مِنْ خَيْرٍ فَلَنْ يُكْفَرُواهُ
492500	494500	The good deeds they do, they will not be denied of them.
494500	496500	This is Quran.
496500	497500	This is Quran.
497500	498500	And then he said,
498500	500500	and the ones that will not even give you back one penny,
500500	502500	he said one thing about them.
502500	503500	He said,
503500	505500	ذَالِكَ بِأَنْ نَقَالُوا لَيْسَ عَلَيْسَ عَلَيْنَ فِي الْأُمْمِيِّينَ سَبِيلَ
505500	506500	That's because they said,
506500	508500	when it comes to the J...
508500	509500	الْأُمْمِيِّينَ
509500	510500	You heard the word,
510500	513500	الْأُمْمِيِّينَ لَيْسَ عَلَيْنَ فِي الْأُمْمِيِّينَ سَبِيلَ
513500	514500	Among...
514500	517500	When it comes to these uneducated people,
517500	520500	these un-blessed people,
520500	522500	we don't owe them anything.
522500	525500	So among them, an extreme group came,
525500	526500	not all of them,
526500	528500	but an extreme group came within them,
528500	530500	and what beliefs did they develop?
530500	532500	They developed a belief that if you steal from,
532500	535500	they considered the rest of the world impure.
535500	536500	Najas.
536500	538500	Okay, the ones that were pure are the...
538500	540500	These realites, everybody else's?
540500	541500	Najas.
541500	542500	And since they're najas,
542500	544500	if a najas steals from me,
544500	546500	if an impure one steals from me,
546500	547500	they better pay me back.
547500	549500	But if I steal from them,
549500	551500	I don't have to pay them back.
551500	553500	And they developed that mentality.
553500	555500	And the Qur'an came in what?
555500	557500	Attack that mentality.
557500	559500	Those are the ones that can't be trusted.
559500	561500	Now, fast forward.
561500	563500	I'm in Europe,
563500	564500	fun place,
564500	567500	in a country that shall not be named.
568500	569500	And I met a brother.
569500	570500	I was like,
570500	572500	Masha'Allah, I'm...
572500	573500	I have one son.
573500	574500	His name is Muhammad.
574500	576500	I was like, beautiful name.
576500	577500	I was like, yeah, but I told the government,
577500	578500	I have four sons,
578500	580500	and I spelled Muhammad M-U-H-A,
580500	583500	M-O-H-A, M-O-U-H-A,
583500	586500	with a double M, with a single M.
586500	588500	And I get benefits for four sons.
589500	591500	I collect four checks from the kufar.
593500	594500	Masha'Allah.
595500	596500	I don't even pay rent.
596500	598500	Alhamdulillah.
600500	601500	I was like, oh,
601500	605500	I've heard this.
605500	607500	I've seen this before.
607500	610500	You can steal from them because they're what?
610500	613500	I go, father, let us steal from them.
614500	615500	This was something that we,
615500	619500	the Quran criticized this about a group of people before.
619500	621500	But whose behavior is this?
622500	623500	This is now,
623500	624500	not all Muslims,
624500	626500	but some Muslims, absolutely.
627500	628500	Absolutely their behavior.
629500	631500	So this mentality,
631500	632500	this mindset,
632500	635500	is actually what the Quran criticizes.
635500	636500	However, now,
636500	638500	among them were those who said,
638500	640500	these ummiyyn are less.
640500	642500	Then they developed other narratives.
642500	644500	The Abraham had two children.
644500	645500	The children of,
645500	647500	or the lineases,
647500	649500	the children of Isaac and the children of Ishmael.
649500	651500	Ishaq and Isma'id.
651500	653500	And they developed an entire literature
653500	655500	how Isma'id is not even legitimate,
655500	658500	which is according to the Bible, not true.
658500	660500	He is legitimate in the Bible.
660500	662500	Oh, Isma'id is not really his son.
662500	665500	Or Isma'id is the cursed son.
665500	667500	So all of his children are going to be what?
667500	670500	They're going to be cursed, right?
670500	672500	The cursed line of Ishmael.
672500	674500	I've even heard sermons and churches about that.
674500	676500	The cursed line of Ishmael.
676500	677500	Then they developed some of the,
677500	682500	developed this concept of the non-Jews being goyim.
682500	684500	Goyim is their word for ummi.
684500	685500	Uneducated, unlettered.
685500	687500	They don't know what the wahi is.
687500	689500	But they became so extreme.
689500	690500	Some of them became so extreme.
690500	692500	Even the Jews among them
692500	694500	that did not belong to their elite class,
694500	696500	they were also called goyim.
696500	698500	Also called ummiyyn.
699500	701500	So they get even more exclusive.
701500	703500	Now, of course, Muslims don't do this.
703500	705500	Muslims don't have some group that says
705500	707500	we're the right ones.
707500	709500	Everybody else is going to Jahannam.
709500	710500	And then eventually they say
710500	712500	we're the only few Muslims that are right.
712500	714500	And all the other Muslims, 72 sects,
714500	716500	are all going to burn in Jahannam.
716500	719500	Thank God I belong to the special Golden Club.
719500	721500	Mutahar Club, right?
721500	723500	Because everybody else is just nudges.
723500	724500	I don't know.
724500	726500	I don't even know if I should pray next to these people.
726500	729500	I don't even know if I can say salam to them or...
729500	732500	So forget their condescending view
732500	734500	of the rest of humanity.
734500	736500	They even developed a condescending view
736500	738500	of fellow believers.
738500	740500	And this is not new.
740500	742500	This happened already in what history?
742500	743500	In Israelite history.
743500	744500	And our prophet told us,
744500	746500	لزت بيعن صدر الذين من قبلكم
746500	748500	You will end up following the ways
748500	750500	of the people who came before you.
751500	753500	Allah says in this ayah,
753500	755500	He sent a messenger.
755500	757500	And raised them among who?
757500	759500	The Umayyin,
759500	761500	the people that the Israelites considered what?
761500	763500	Nudges.
763500	765500	The people that were unworthy.
765500	768500	The people from the cursed line of Ismail.
768500	769500	In the previous ayah,
769500	771500	He used the word on Qudus,
771500	773500	the holy, the pure.
773500	775500	And the Israelites believed because of that name.
775500	777500	Who did He make pure?
777500	778500	Them.
778500	780500	Some of them even developed this fatwa
780500	783500	that whoever stood under the mountain,
783500	785500	and their children are forever pure.
785500	787500	And whoever was not under the mountain,
787500	789500	their children are forever impure.
789500	791500	Cool.
791500	793500	So now Allah takes this concept of superiority
793500	794500	and says,
794500	795500	By the way,
795500	796500	I'm going to send a messenger.
796500	798500	And whom am I going to send it among?
798500	800500	The Umayyin.
800500	802500	Umayyin, by the way,
802500	803500	really cool word.
803500	805500	Really epic word.
805500	807500	Umayyin has a couple of meanings.
807500	810500	One, belonging to a certain nation from Ummah.
810500	812500	So these were nationalistic people.
812500	814500	Or ethnic peoples.
814500	816500	But Ummah also means,
816500	818500	Ka'annahu Kharaja min Ummi.
