start	end	text
0	7520	What does Allah say is an ayah in the Quran? History is an ayah. The mountain is an ayah.
7520	12800	The sky is an ayah. The animal is an ayah. My body is an ayah. What's going on inside
12800	20560	my chest is an ayah. All lived experience is a set of what? Ayat. And each one of them
20560	32320	becomes valuable because they are ayat of the king. Allah is so powerful he doesn't have to become
32320	38080	visible in how he exerts his power. Lotiful limayasha. He's subtle in how he does things,
38080	44880	delicate in how he does things, nearly unnoticed in how he does things. You know? And some things
44880	49440	is very obvious and some things is very delicate and invisible and that's actually one of the great
49440	57200	manifestations of the might of Allah Azza wa Jad. Now monuments and wealth. You know Allah says
57200	58800	about himself, Allah says,
61200	69600	We wanted to show Ibrahim A.S. the symbols of Allah's kingdom. Show him the signs of Allah's kingdom.
69600	71920	Allah asks the question to the disbelievers,
72400	80880	Do they have any signs of their empire? I'd like to see what portion of the empire do they have?
80880	85120	What control do they have? And if they had something they wouldn't give it to anybody else.
85120	89920	I was also thinking about how symbols of kingdoms are really important. You remember the story of
89920	95440	Yusuf A.S. when the cup was taken? Why was the cup important? It could have been any cup like
95440	98720	from a water cooler. It wouldn't have been a problem. It was the king's cup.
102880	108720	Because now that represents something very high value because it's associated with the kingdom.
109520	116480	So you know why this is an important thing for Quran students? The cup is a symbol of the kingdom
116480	124720	which is what gives it a lot of value, isn't it? Now that means the word for symbol in Arabic is
124720	132320	Aya. I'll say that again. The word for symbol is what? Aya. So it has value because it's an
132320	141280	Aya of the kingdom. What does Allah say is an Aya in the Quran? History is an Aya. The mountain is an
141280	147840	Aya. The sky is an Aya. The animal is an Aya. My body is an Aya. What's going on inside my chest is an
147840	155840	Aya. All lived experience is a set of what? Ayaat. And each one of them becomes valuable
156640	164560	because they are Ayaat of the king. So there are two kinds of Ayaats in the Quran. There are Ayaat
164560	170720	all around us and there are Ayaat of his revelation. But they both go, they are valuable because they
170720	177600	are Ayaat of the king. Just like the king of the cup of the king and the surah. Allah says
177840	189600	If you owned the treasures of Allah's Rahma, if you had any authority over them, you would have held
189600	194480	them back. Meaning Allah's kingdom is so vast. You know when you see a prosperous kingdom,
194480	201680	everybody's living well. You know some nations in the world are so wealthy that they just give money
201680	207680	to just everybody. Just wealth upon wealth. Nobody's poor and everybody's living large
207680	212160	because the kingdom has just too much to give. They just give and give and give. Some small
212160	216800	nations in the world that have massive natural resources and things like that. They do that.
217920	224000	So the idea is a kingdom that has the ability to give is more generous and just in the way that Allah
224000	228640	provides it is to all of his creation is a manifestation of Allah's kingdom. Okay.
229200	234960	It's also interesting again symbols of kingdom. I'm highlighting this because it's one of the most
234960	240720	important things that tell us about a kingdom. Allah even mentions a woman who was a queen.
241840	247440	Who was that? Sabah, you know Shiva. What does he say about her?
247440	254480	Inni wajattu imraatan tamlikuhum. I found a woman that rules over them. You know and what did he
254560	259600	say about her? He said wa utiyat bin kulli shay'in walaha ashun'a'zim. She has all kinds of things
259600	266560	and she has a great throne. What was the symbol of her kingdom? So you notice a theme now in the
266560	271040	Quran when Allah mentions kingdom. One of the things you notice about kingdoms are its symbols,
271920	279520	the marks of that kingdom. Okay. The right to rule. Who is the rightful king? In the story of
279680	284880	Talut and Jalut, the Israelites came to their prophet and said we need a king because we need to fight
284880	289120	in the path of Allah. Who will be the rightful king? Their prophet told them
293680	299840	The sign of him being the legitimate king is this cart will come back. That's a long story but
299840	305200	it's a really fun story actually in Jewish history that Allah refers to in the Quran because
305200	311520	the Quran is actually very full of Jewish history. There's lots of accounts of Jewish history in the
311520	317120	Quran and there's a lot of interplay between the Old Testament and the Quran. Right. So but anyway,
317120	321360	I won't go there but I will tell you one thing about Allah SWT. I told you kings
322240	328800	all often have to claim why they are the rightful king and they have to be declared the rightful
328800	334480	king and there has to be some kind of inauguration ceremony that makes it official that this is the
335200	340480	rightful king. You understand? And if that doesn't happen then they haven't earned their right to the
340480	345440	throne or if somebody challenges their right to the throne. Is there anyone that's going to
345440	349120	challenge Allah's right to his absh? Allah says,
352960	361360	How great, how high Allah is the rightful king. Meaning originally Allah has the ultimate right
361360	366720	of kingdom. He didn't get it from somewhere and no one can take it from him. That is originally his.
368400	373840	Then of course another piece of his important symbolism that has to do with kingship
