start	end	text
0	3080	This idea of the sense of superiority over others
4200	12160	Afflicted this ummah and this is the exact thing. Oh, I'm telling you Allah pointed out that the Israelites had this mentality and
12960	17720	Allah's corrected that mentality and gave this this deen to the entire world and
18240	21140	Now each one of us became many Israelites
21500	29940	Salam alaikum before you begin this video just quickly wanted to let you know that
30300	33220	So much of the work on the Quran has been completed on bayna TV
33220	37360	I want you to enjoy systematically studying the Quran from the beginning all the way to the end in
37540	40180	Brief and then in great detail and to do that
40180	44940	I'd like for you to sign up on bayna TV calm and once you appreciate what's going on in bayna TV
44940	50100	I want you to become an ambassador for it and share that subscription with friends and family and give it as a gift also
50100	53100	Thank you. Then we get to this next high where Allah says
53100	55100	nadika fadlullahi yuqiz mayan
55500	59740	That is that is a favor of Allah. He gives it to whoever he wants
59740	63500	Well, Allah with the phabda Ali and Allah is the owner of the ultimate favor
63500	67560	I want you to first understand the meaning of the word phabda the favor what I'm calling favor
67980	73860	Fadlah means if somebody has a really long dress or a cloak like royals used to wear clothes
73860	78520	But they used to drag behind them right or you might see you don't watch movies
78520	85360	But you'll have a royal holding up his garb or the servants holding up their garb when they're walking that excess stuff is called
85720	88920	Fadlah actually the excess long part is called Fadlah
89240	94200	Fawad al-Mu'maad is basically profits from your property or your business. So your bonus is a Fadlah
94720	102160	Your bonus or your extra profits your extra sales are a Fadlah or sometimes in America. I don't know how taxes work here, but
103200	105500	Sometimes the government actually gives you back some money
106260	108760	After you pay them taxes you get a tax return
109380	111940	Right and when you get that return, it's a little bit of a fuzzles
112700	118180	Okay, so that that fuzzle is extra. You didn't expect it. It's more above above and beyond
118700	120700	Fadlah who this is reversed in
121420	128140	Tech sequence Fadlah who had a guy to he to raise someone above someone else to give someone an extra advantage over somebody else
128500	130580	This is an important word and I'll show you why
131860	133860	before I get to this I
134100	136100	What did Allah say about the Israelites?
136780	138780	He said
139620	140540	I
140540	146460	Gave you an advantage. I gave you an extra advantage and I gave you a preference over all other nations
146820	151260	That's what Allah told Bani Israel. He gave them more profits than anybody else
152140	154940	He gave them more chances than anybody else
155900	159860	They lost the Torah multiple times. It was restored for them multiple times
160260	165300	Allah is now using the word fadlah after saying first of all
