start	end	text
0	2000	And then Allah says, has a punishment.
2000	6000	This is a punishment from Allah when people hear the word of Allah and they don't care
6000	10000	that Allah puts the love of filthy things in their hearts.
10000	11000	He says,
13000	16000	You know they ended up loving the worship of a cow?
16000	18000	And they were obsessed with it.
18000	21000	Where did that filthy love come from? It's shabq.
21000	24000	You're a Muslim. How could you do shabq like that?
24000	28000	That's the punishment of hearing the word of Allah after being shaken up
28000	30000	and still dismissing it.
30000	33000	Well, you want to dismiss it, then Allah does not reside in your heart.
58000	71000	We begin our study of ayah number five.
71000	73000	I'll translate the ayah first.
73000	75000	It's a difficult ayah to translate.
75000	78000	It might come across as offensive, but as we navigate through it,
78000	80000	inshallah we'll understand it better and better.
80000	84000	The example of those who were given the responsibility of the Torah,
84000	87000	who were loaded with the responsibility of the Torah.
87000	94000	Then they did not uphold it, meaning they didn't live up to the responsibility of the Torah.
94000	101000	Asfara is the example of the donkey that is carrying books,
101000	103000	that is carrying volumes of books.
103000	113000	What a terrible example it is of the group of people or the kind of nation
113000	118000	who lied against the revelations of Allah or the signs of Allah,
118000	120000	the miraculous signs of Allah.
120000	126000	Allah does not guide the wrongdoing nation.
126000	132000	That's a longer ayah, but it is an ayah about the Israelites clearly.
132000	136000	We're going to take it bit by bit and try to understand it and some of its biblical subtexts.
136000	138000	So, the first thing is the word matthal.
138000	144000	All you need to know about it, simply speaking, is matthal was used for a sculpture.
144000	147000	Like you know when you have a great leader and they build a statue,
147000	149000	that's supposed to look like that leader.
149000	154000	So, it's supposed to be a copy of the person that it's representing.
154000	158000	So, you see that statue, but you're actually thinking of the person that it represents.
158000	160000	From it came the idea of misal.
160000	163000	Misal is commonly translated as an example.
163000	165000	And the idea of an example is,
165000	170000	I'm talking about this concept, but it's directly taking you back to the reality of the situation.
170000	174000	Just like a statue is taking you back in your mind to the real person,
174000	178000	the example is taking you back to the concept at hand.
178000	182000	So, the fact that masat is being used has to have a purpose.
182000	185000	It always takes you back to something real.
187000	189000	Who's trying something?
189000	191000	I don't know.
191000	193000	It was there, it seemed to be...
193000	194000	They'll work on it.
194000	196000	They're good people. Alhamdulillah.
196000	200000	So, the purpose of method is to help students with the lesson at hand.
200000	203000	Meaning if Allah starts the ayah with the word method,
203000	208000	it must mean there's already an example, a concept that's there,
208000	213000	and this is going to help us understand why this example is being used.
213000	217000	Like for example, when you study any subject, if you're a student of mathematics,
217000	219000	and there's a concept that's being explained,
219000	223000	right after the concept, here are the following examples.
223000	225000	And then solve the following problems.
225000	228000	So, they'll give you a couple of examples that they've solved for you,
228000	231000	and then you have to figure out the rest to solve yourself.
231000	235000	Same way when I teach any subject, if I'm teaching Arabic for example, a grammar concept,
235000	239000	I'll give a couple of examples of it, then you can solve your own problems.
239000	243000	So, the idea of method here necessarily connects to what came before.
243000	245000	And that's really, really important.
245000	250000	The ayah right before said, you know, that Allah has favored us.
250000	255000	That is the favor of Allah. He gives it to whoever he wants.
255000	258000	And in the very next ayah, Allah is talking about the Israelites.
258000	262000	Why? Because the Israelites were favored by Allah already.
262000	265000	وَأَنْنِ فَبَّلْتُكُمْ عَلَى الْعَالَمِينَ
265000	267000	مَفَبَّلْلَهُمْ عَلَى الْعَلْمِينَ
267000	270000	وَآَتَيْنَهُمْ إِلَى الْعَيَاتِ مَا فِيهِ بَدَاءُمْ بُبِينَ
270000	272000	Multiple places in the Qur'an, Allah says,
272000	274000	I favored you over all other nations.
274000	277000	We favored them knowingly over other nations
277000	282000	and gave them all kinds of ayah in which there were great tests and great blessings.
282000	284000	This is what he says about the Israelites.
284000	287000	So, he just mentioned us getting fulbul.
287000	291000	And then he mentions the nation that used to have the fulbul.
291000	293000	As an example, why?
293000	300000	Because now that you're stepping up, you know, like to give you a baseball analogy,
300000	304000	when somebody's up to bat, it's their turn.
304000	309000	Right? But before you go up to bat, let me give you the example of the last guy who was in your place.
309000	311000	Here's the mistake they made.
311000	316000	The purpose of it is, you are now standing in the exact place that the Israelites were standing.
316000	325000	Which means, you are in potential danger of making the same mistakes that they made.
325000	327000	That's the point that's being made.
327000	335000	And this mindset really helps us appreciate why the word, you know,
335000	338000	the first word that's going to get used after an example is,
338000	348000	hummulu, the example of those who were given the burden, who were burdened or loaded with the Torah.
348000	351000	The Prophet, sallallahu alayhi wasallam, is told,
351000	353000	Inna salulki alaika kaulan saqila.
353000	356000	We are putting a heavy word on you.
356000	359000	The Quran is described as a heavy word.
359000	362000	What did we just learn about the Torah? They were given the burden of the Torah.
362000	367000	What does Allah say about the Quran? It is a heavy word put on the Prophet, sallallahu alayhi wasallam.
367000	373000	We ask Allah, at the end of Surat al-Baqarah, after learning about the Israelites in detail,
373000	375000	at the end of it, we say,
375000	379000	ربنا لا تحمد عدينة إسلن كما حملته على النذين من قبلنا.
379000	385000	Ya Allah, do not place a burden on us like you placed on those who came before us.
385000	388000	ربنا ولا تحملنا ما لا طاقت لنا به.
388000	393000	Our master do not put a burden on us that we have no power to bear.
393000	398000	So the word burden is now associated with the responsibility of carrying revelation.
398000	404000	We saw in the second ayah, يطلو عليهما ياته ويزكيهم ويعندي مهم الكتاب والحكمة.
404000	407000	And in the next ayah Allah described this as a fadhan.
407000	409000	This is a favor of Allah that you get to have the Quran.
409000	411000	Now there is the other side.
411000	418000	It's a privilege, fadhan, it's a privilege, but it's also a massive burden and massive responsibility.
418000	420000	And that's two sides of something.
420000	425000	Like for example, this takes us back also to al-Madik and Aziz,
425000	431000	when the king appoints someone as the advisor.
431000	433000	Isn't that a huge privilege?
433000	438000	But at the same time, a huge responsibility, right?
438000	444000	So the positions that have the highest privilege also come with the highest responsibility.
444000	447000	We respect people in high positions.
447000	451000	Actually we respect them because they have to carry high responsibilities.
451000	453000	That's what makes them respectable.
453000	454000	You see?
454000	457000	So your teacher is respected because he has higher responsibility.
457000	459000	The principal is more respected.
459000	463000	The dean of the university is even more respected because they're carrying higher and higher responsibilities.
463000	469000	Now we are privileged to have the Quran and we have the responsibility of the burden of carrying the Quran.
469000	474000	So it's important that now that you have this privilege, congratulations, that's the fadhah of Allah,
474000	481000	now you better watch out because this privilege will go away the moment you no longer carry your responsibility.
481000	484000	Like any job, you can have the most prestigious job,
484000	489000	but the moment you don't do justice with your job, you get humiliated.
489000	492000	You could have the job of the president, a really prestigious job,
492000	497000	and then you're corrupt in your role and you're the most humiliated person in the country
497000	499000	because you misuse that role.
499000	505000	So now that Muslims are in this position, they need to know what happened to people who were privileged before you
505000	507000	and they lost that privilege.
507000	509000	You don't want to fall into this position.
509000	513000	Look at these other ayat in the Quran that similarly allude to this concept.
520000	529000	If they turn away then the messenger is only responsible for the burden that was placed on him.
532000	535000	And you are only responsible for the burden that was placed on you.
535000	539000	When you are to follow him, you will be committed to guidance.
539000	546000	And the only obligation the messenger has is to communicate clearly.
546000	550000	Another ayat in the Quran, actually this is a scary one, but I'm going to...
550000	552000	You know what? Let me just tell it to you now.
557000	563000	We offered the trust to the skies and the earth and the mountains
563000	566000	and they all refused to carry the burden.
566000	569000	They all refused to carry the trust.
569000	574000	The trust is actually the choice to do right and wrong in Surat al-Ahzab.
574000	577000	And Allah is saying the choice to do right and wrong was...
577000	580000	Human beings were privileged with high intellect.
580000	583000	They were privileged with the soul, the Ruh that Allah blew inside them.
583000	587000	And as a result they have more power to make right choices than any other creature.
587000	592000	So when this power, this trust, that I'll let you make whatever choice you want,
592000	596000	when this trust was being handed to any other creation, they could not hold it.
596000	599000	But the human being decided to hold it.
599000	601000	And in the next ayat Allah says,
605000	610000	And it so ended up happening that Allah will end up punishing the hypocrites of the men and the women.
610000	612000	And the mushrikeen, men and women.
612000	614000	Who was mentioned first? Mushrikun or hypocrites?
614000	620000	Hypocrites are people who accept the responsibility, who have, who accept the religion,
620000	622000	and then play games with the religion.
622000	623000	Those are the hypocrites.
623000	628000	They were put on the responsibility first because they actually consciously took the responsibility.
628000	632000	Anyway, so that's a little bit about the notion of carrying the responsibility,
632000	635000	those who were given the load of carrying the Torah.
635000	638000	Before we go on, we should also learn some things about the word Torah.
638000	642000	The word Torah comes from the Hebrew language and is pronounced as Torah.
642000	645000	It is usually translated as law or instruction,
645000	649000	and is considered as the most sacred text in Judaism.
649000	652000	The Torah consists of the first five books of the Hebrew Bible,
652000	656000	Genesis, Exodus, Leviticus, Numbers, and Deuteronomy,
656000	660000	and includes God's instructions, guidance, and teachings for the Jewish people.
660000	664000	So generally speaking, the Torah refers to the Old Testament,
664000	666000	the five books of the Old Testament.
666000	672000	In Hebrew, it is from the root YAH-RAHA, which is similar to Arabic,
672000	677000	Wari actually, which has the primary meaning throw or shoot.
677000	682000	In the derived Haif-al form, Af-A'la form, the verb means to teach,
682000	685000	to throw knowledge towards someone else.
685000	690000	So from that, the noun Torah means direction or instruction.
690000	695000	So actually, Torah literally means instruction or law or direction.
695000	697000	That's what the word comes from.
697000	700000	Now, let me give you an example.
700000	702000	This is just an example. This is not what the Qur'an says.
702000	704000	I just want to explain a point to you.
704000	708000	Those who were charged with the Qur'an then didn't uphold it.
708000	713000	If I say that, those who were charged with the Qur'an and didn't uphold it,
713000	718000	is that a comment about all of those who were charged with the Qur'an
718000	721000	or some of those who were charged with the Qur'an?
721000	723000	Huh?
723000	729000	If you say all, then it means none of them upheld it.
729000	734000	If you say those who were charged with the Qur'an and didn't uphold it,
734000	736000	only these people.
736000	737000	So when Allah says,
737000	741000	مثل لذين فمل التورات ثم لم يفملها,
741000	747000	the example of those who were charged with the Torah and didn't uphold it,
747000	750000	is that all the Jews are some of the Jews.
750000	752000	Do you understand the point?
752000	755000	There are those who were given the Torah that upheld it.
755000	757000	Allah talks about them.
757000	761000	There were those that were given the Torah that lived by it and died by it.
761000	763000	And there are heroes. They're talked about in the Qur'an too.
763000	766000	This example, see what happens sometimes is
766000	770000	people want to find, oh, the Qur'an is anti-Semitic
770000	772000	or the Qur'an is anti-Jewish.
772000	774000	Actually, it's pretty pro-Jewish.
774000	776000	More Jewish prophets are mentioned,
776000	779000	more Israelite prophets are mentioned than any other nation's prophets in the Qur'an.
779000	782000	Musa A.S. has mentioned over 70 times in the Qur'an.
782000	784000	Right?
784000	789000	And one of the noble prophets that even our prophet is supposed to take inspiration from.
789000	793000	But the most important piece here is Allah does not only criticize the Jews
793000	796000	and He does not only praise the Jews and He does not only...
796000	801000	There's no only. There's in specific cases, specific case studies are mentioned.
801000	805000	This is a case study of those who were charged with the Torah and didn't live up to it.
805000	808000	Now, let's understand what does it mean to be charged with the Torah?
808000	814000	It actually means those who studied it, those who learned it, the scholars among them.
814000	819000	And again, not all scholars among them, some scholars among them
819000	822000	who after having learned it did not live up to it.
822000	824000	They did not live up to it.
824000	827000	Hum Mila also is a passive verb, which I'll explain in a second.
827000	832000	Now, because there's a lot of work to do today on this,
832000	835000	I want to first get through our understanding.
835000	838000	How does the Qur'an explain this concept?
838000	842000	When He says they didn't live up to the Torah, they didn't carry it.
842000	844000	Well, how does He explain that they didn't carry it?
844000	846000	I'm going to go through a number of ayat.
846000	849000	This is not comprehensive, but it should give you a pretty decent idea.
849000	852000	What I want you to keep in your mind is the first thing I said.
852000	855000	Why is this example being given? For whose benefit?
855000	862000	Ours. So every mistake of theirs is potentially whose mistake?
862000	866000	It's ours. We have to have a really good look at ourselves as we read this.
866000	867000	First,
868000	877000	The worst pits of hell are for those who wrote the law with their own hands
877000	879000	and then said, this is from Allah.
879000	883000	So they can make some small, cathetic profit from it.
883000	885000	They toyed with the law of Allah.
886000	889000	So,
889000	892000	then terrible hell is for them because of what their hands wrote
892000	896000	and terrible hell is for them because of what they keep on earning.
896000	900000	So the first thing is to come up with laws and fatwas and rulings
900000	904000	and then say this is actually from Allah, but do it for corrupt reasons.
904000	906000	That'd be genuine.
909000	913000	You will see a huge population among them that make a lot of efforts
914000	918000	to spread animosity and sin.
