start	end	text
0	4240	Because usually, when you're trying to convert people to a new religion,
4240	7120	you're trying to get the least knowledgeable people
7120	8920	because they're easier to convert.
8920	12480	So you might go into the villages where the very poor people are,
12480	13840	give them some food,
13840	17440	and then invite them to your little religious gathering and easy to convert.
17440	19840	Which is by the way, some religions do that nowadays too.
19840	20560	Right?
20560	24560	But they won't go to the cultural capitals or the learning capitals.
24560	27360	They're not going to go to the universities, you see?
27600	29680	This is one of the things that makes Islam unique.
29680	33840	The Quran wasn't challenging the people who know the least of the other religion.
33840	37520	The Quran was inviting the people who know the most of the other religion.
57920	58800	Alhamdulillah.
62720	64080	Everyone once again, day four.
66640	69440	We move on from the two core ayaat of the surah,
69440	71440	the first two ayaat of the surah now.
71440	77120	And the third ayaat of this surah is actually grammatically connected to the second ayaat.
77120	80720	So this happens in the Quran where you may have multiple ayaas,
80720	82720	but actually there's still one sentence.
83520	83760	Right?
83760	86000	The easiest example of that is Alhamdulillah,
88240	91120	Maniki and Mindin is actually one sentence.
91120	92400	Grammatically it's one sentence.
92400	92880	Similarly,
96480	97760	is actually one sentence.
97760	99440	It's not multiple sentences.
99440	102720	So there are multiple ayaat, but there's still just one sentence.
102720	107200	So the same thing happens here is actually from the previous ayaa.
107200	109840	You notice, grammar students will notice the first word here is
111280	113520	which is not in the rafa form.
113520	114400	It's not aaharun.
114960	117200	Had it been aaharun, you could argue that this
117280	118240	is a new sentence.
118960	125920	But because it's monsoob, the nusb condition of it is impacted by something that came before.
125920	130560	And this might sound alien to some of you that haven't studied a little bit of Arabic grammar
130560	132320	or Arabic studies.
132320	136400	And my intention is also to make you curious about how do you figure that stuff out.
136400	137520	It's really not that hard.
137520	138640	And inshallah you'll get there.
139680	143040	By the end of the program, I'll show you a pathway you can take to get there,
143040	144480	inshallah, on your own.
144480	148160	Anyway, so wa ahadinaminhum, a rough translation.
148160	150240	Then we'll get into the dafsir matters.
150240	151360	And there are others.
152320	155440	And then there's the complicated phrase, others from them.
156080	158560	There are yet others from them.
159440	160880	Now, what does that mean?
160880	165120	There are more people other than the book, you know, the ones that he purified,
165120	168800	the ones that he read the ayaat to, the ones that he teaches the law and the book,
168800	170880	the law and the wisdom to, right?
170880	173120	There are yet and those are the ummiyeen.
173120	174960	Yet there are others from them.
176480	176960	Or
176960	180000	لما يلحقوا بههم that have not yet joined them.
180640	182800	They haven't joined them yet.
182800	183440	What does that mean?
183440	184160	They're about to.
184880	186480	What is with عزيز with حكيم?
186480	189040	And he is the ultimate authority and all wives.
189040	191360	That's the rough translation of the ayaat.
191360	193440	We're going to start with some commentary today.
193440	196880	I'm going to read some things to you that I think you should be exposed to.
196880	199040	And here's just some insights from different scholars like
199040	201920	ابن عاشور رحمه الله in his التحريب التنويل.
202160	215120	This is an unseen prediction.
215120	219200	Meaning the Quran has given a prediction of the future to the Prophet
219200	223360	صلى الله عليه وسلم that this message and this invitation of the
223360	227520	Prophet صلى الله عليه وسلم is going to reach other nations that are not Arab.
227840	232720	فارس والأرمن والأكراد والبربر والسودان.
232720	234640	You can tell these are different names of nations right?
235200	238800	والروم والتورك والتطار والمهول والصين.
238800	241200	Anyone know what is China?
242080	243840	China والهنوط.
243840	244800	Anyone know what is this?
245440	251920	The Indians the Tatars the Persians the the the the Armenians the
252000	257360	Barbar the Sudanese the Romans the Turks the Tatars then وغيرهم
257360	262320	and even beyond them وهاذة من معجزات القرآن من سنف الأخبار بالمغيبات
262320	264400	and this is part of the miracles of the Quran.
264400	268640	One of the miracles of the Quran that Allah told the Prophet صلى الله عليه وسلم
268640	272560	of how international this religion is going to be others
272560	276160	beyond them are going to be joining that haven't joined them yet.
276160	280560	وفي الآية دلالة على عمومي رسالة ابن بي صلى الله عليه وسلم
280640	286800	يجمير الأمم and in this ayah there is evidence this serves as an evidence of how universal
286800	290160	the prophethood of our prophet is صلى الله عليه وسلم for all nations.
290720	296080	You see so far Allah has sent prophets up until Muhammad صلى الله عليه وسلم
296080	299280	Allah sent prophets to particular nations right?
299280	304560	Messengers came to particular nations with a mission and they weren't sent to all of humanity
304560	307040	like they have to be concerned with all of humanity.
307040	311520	The closest to that you get in the history of the world is Ibrahim
311520	317360	عليه السلام but even he wasn't sent to all nations he was concerned for all nations
317360	318960	there's a difference right?
318960	323360	And he made a dua for all nations and he wanted to help all nations
323360	328560	but he wasn't sent as a mission to all nations but our messenger صلى الله عليه وسلم
328560	332640	his mission began with the region in which he was born and raised
332640	335600	رسولة منهم فيهم رسولة منهم we saw that
336240	339520	but then even before his life came to an end in this world
340160	345440	then he already instructed how the mission is supposed to now become beyond the borders of
345440	346720	the Arabs right?
346720	353120	So Islam starts spreading outside of that hijaz region outside of that desert even within
353120	359360	his own lifetime he's engaging with outside territories and this was part of the plan of
359360	362080	Allah and he's hinting at that plan inside
362400	365920	وَاَاَصْلَيْنَا مِنْهُمْ لَمْمَا يَلْحَقُوبِهِمْ فَهُوَنْ عَزِيزُ الْحَكِيمِ
365920	370400	Okay so now we're going to rediscuss something because this is connected to the previous
370400	374560	ayah we're going to rediscuss the concept of al-ummiyeen so far I told you these are
374560	378320	the unlettered uneducated people people that didn't have knowledge of the scripture
378320	380160	we're going to read some more things about them
380160	387680	وَاَصْلَجَ الْبُقَارِيْ وَاَمْسْلِمْ وَاَبُدَاوُدْ وَالْنِسَائِيْ عَنِبْنِ عُمرَ عَنِنَّ بِيْصَظَ اللَّهُمْ عَلِيْسَلَمْ قَالَ
387680	391360	This is a narration of the prophet sallallahu alayhi wa sallam is found in Bukhari and in Muslim
392000	395840	and this is Imam al-Aloosi al-Ruh al-Ma'ani quoting this I'll translate it for you
