start	end	text
0	5840	Or as if Allah doesn't know what's really going on. This is important. We say it's easy to say Allah knows everything
6360	8160	easy to say
8160	14660	And then people say Assad, you know some people they do really bad things, but they don't look like they get punished
15800	17800	Like how come why why is Allah doing that?
18080	23160	And then you're like yeah, but what Allah is gonna like punish them on judgment day or what? Oh
23880	26120	So he has to explain to you what he's gonna do
26760	28760	This is how this works
28760	32000	Because when judgment day begins and everybody's about to be judged you're like hold on a lot
32000	35680	I just want to make sure this guy who stole my ketchup from McDonald's
36320	38320	Gets what he deserves
38360	40360	Now we may begin
40600	45660	Okay, we have this sense of entitlement that somehow Allah owes us an explanation
45960	53320	O makar Allah, who liyeq di aakum adal ghayb Allah says Allah does not is not going to be one to inform you of what he does in the unseen
53360	55360	Why does he have to tell you?
59520	61400	I
63900	65900	Gaming
78560	84560	We're Bush about me with silly
84560	91560	And I'll see you in a minute.
91560	98600	Surah Al-Jumu'ah, which is typical of this group of Surahs, especially the
98600	102680	Musabihaat, meaning the Surahs that begin with the Tasbih of Allah, the five of
102680	111280	them in this group, are very deep and loaded beginnings. So my intention is to
111280	116080	try and finish our discussion on the first ayah today. It looks unlikely, but I'm
116080	119840	going to not rush through it. I want to be able to cover everything that I wanted
119840	125000	to share with you in some detail, inshaAllah, and see how we progress. Anyway,
125000	129240	so the first conversation I want to have with you is about the word Tasbih or
129240	134480	the word Yusam Bihul that occurs in the ayah. Once again, in an easy translation,
134480	138960	the first part of this ayah is, whatever is in the skies and whatever is in
138960	145400	the earth, does and will continue to do Tasbih of Allah, meaning declares and
145400	150840	will continue to declare the perfection of Allah. One of the most important
150840	157320	studies in the Quran is the study of words. So Arabic is really unique because
157320	163240	every word has an etymology and an entire story behind it. So I just said
163240	167760	declares the perfection of Allah. That's an easy English translation. But behind
167800	174000	this word is imagery. This word Tasbih comes from Saba'a and Saba'a has some
174000	178320	images associated with it. So as we will go through this series of lectures,
178320	182760	every time we come across a word, we're going to go look in the background of
182760	187040	that word. Where does word come from? How are the Arabs using the associated
187040	190440	words? And then how do we get to the meaning of the word that we're dealing
190440	194200	with in this ayah? Okay, so those secondary meanings, those background
194240	197560	meanings, they help us get a deep understanding of the word that Allah is
197560	201840	using. So let's start with Tasbih, which is coming from the letters,
201840	207880	Sain, Ba and Ha. Those are the root letters of this word, Saba'a. Saba'a. Siba'a
207880	212440	were actually unstitched, hide or leather garments. I couldn't find a better
212440	217960	picture than that. But anyway, ancient times babies had clothes, but they didn't
217960	222080	have any stitching on the side. You just stick the arms in and the neck in and it
222120	227240	just flows, right? So it doesn't, you can't tell if the baby's fat or skinny
227240	233120	because it's all just kind of flowing. So that, which doesn't stick to the body,
233120	238680	right? Doesn't contour to the body. Those kinds of clothes were called Siba'a. It
238680	243000	also means to be stretched or extended out. Tasbih is used when you're stretching
243000	247440	leather. That's actually called Tasbih or stretching a string or a rope or
247440	251480	something like that. So so far we got the meaning of something that doesn't, you
251520	255680	know, dip down into the shape of the body and something that's stretched out,
255680	265080	leveled out. Then Tasbih is actually when you swim and you don't go underwater. So
265080	269520	you're swimming, but you stay above the water the whole time. If you go under the
269520	273880	water and you come up, that's called Al-Aun. It's a different word for swimming.
273880	279280	But Saba'a is actually, or Saba'a the verb is actually when you, when you don't
279360	284040	dip at all, you stay above. So now we've got this idea, this concept of something
284040	288000	stretched out like a straight line, something that doesn't dip into the body
288000	293520	of the child, and even a swimmer that doesn't dip under the water. He maintains
293520	298760	or she maintains the level. Fara Siba'a, Saba'a, a horse was described as Saba'a
298760	304480	that extends its legs out as far as it can. So when it gallops, it stretches its
304560	311440	legs out. So it's called Hasanu Mad-din-yadain-fil-jari, meaning it extends
311440	316840	as far as it can when it runs. So being extended and engaged without being
316840	321200	immersed. Likewise, like the swimmer who won't submerge, meaning the swimmer that
321200	325040	won't go down, the child's loose garment doesn't contour to the body and
325040	330120	thus doesn't immerse into the form of the child. That's why outer garments are
330160	336680	called Qisa'a Musab'ah, meaning spread out. Thus, constant activity with no
336680	339560	downtime. This is interesting. If you're working, working, working and you never
339560	343400	take a break, like the swimmer who never goes under the water, that's actually
343400	346760	called Saba'ah. And it's used for the Prophet, Sallallahu Alaihi Wasallam,
346760	352000	when Allah says, Inna Laka'a Finna Haari, Saba'a An Taweela. You have long,
352000	359160	endless, breakless, you know, seamless tasks work to do where you're not going
359200	363800	to get any breaks. And that's called Saba'ah, maintaining. From this came the
363800	369120	idea of not being brought down in any way. In other words, I'm not going to say
369120	375440	anything about Allah that brings down His perfection. So the idea of this
375440	380480	be is maintaining or floating our concept of Allah and not letting it drown
380480	384320	even a little bit, or not letting it weaken even a little bit in any way,
384320	388680	right? So the way that the scholars talked about this, for example, what
388680	393840	doesn't be fit His Majesty's perfection. But some of it has to do with being
393840	404600	declared perfect. Meaning that you say something that is not appropriate for
404600	413040	Him, whether it's a partner or a child, or if you say Allah made
413040	417400	something without a purpose. By the way, that's philosophically all. Allah says
417720	421240	He created the skies and the earth with purpose. You know what that means? That
421240	426160	He created me with a purpose. But it also means every situation He created, He
426160	432280	also created with a purpose. Every disadvantage in my life was for a
432280	437520	purpose. Every advantage of my life was for a purpose. Every test was for a
437520	442960	purpose. You know, every ability and every disability was for a purpose. And the
442960	447360	moment I start thinking, I don't see the point why Allah did this, I pretty
447400	453160	look pretty purposeless to me that this be of Allah is going away. Because Allah
