start	end	text
0	4000	Our religion, is it a transaction with Allah?
4000	7000	No, but you know what you find some people doing?
7000	13000	I used to pray, I fasted, I even didn't even drink any Haram, I didn't eat any Haram,
13000	18000	and I only asked Allah for one thing, and I kept making dua and I kept making dua,
18000	22000	and Allah didn't give it to me. Why should I pray?
23000	30000	You know, and that's actually also a big part of hikmah, isn't it?
30000	35000	Hikmah means which medicine is needed at which time, right?
35000	39000	Because some people, their entire religion is just negative,
39000	45000	and other people, so it's all fear, and for other people their entire religion is all positive.
45000	51000	And both of these are dangerous, both of these are dangerous, too much sweet, you get diabetes.
52000	57000	And too much negativity, you get autoimmune diseases, you get all other problems.
57000	62000	So this is a remarkable balance Allah has struck between those two, and that's our life,
62000	66000	it's always between these two, good times and hard times, good times and hard times,
66000	68000	that's just what it's going to be, that's just this slide.
68000	74000	Now let's look at the word awliya, awliyaullah, awliya ulinda actually, it's really cool.
74000	79000	In the Quran, awliya by the way from wadiya, let me explain the word first,
80000	84000	the animal like the horse, the Arabs like to put a saddle on top,
84000	88000	if you've seen western films, as taqfidullah, because you're the slummit, so you don't watch movies,
88000	93000	but if you're in western movies, the cowboys got a saddle, and that's on the saddle, right?
93000	97000	But the saddle, because you're sitting on it, you're putting weight on it,
97000	101000	it hurts the skin of the horse, right?
101000	105000	Because a long time it gets a blister, like you guys if you ever go to al-Murah or something,
105000	109000	and you buy the cheapest slippers you can, because you know they're going to disappear into the akhada,
109000	112000	by the time you come out, right?
112000	117000	But those slippers, you know how they give you that blister on your skin after a while,
117000	120000	it's just better off barefoot, you know?
120000	124000	So the animal also gets a blister, because the thing is touching on it all the time,
124000	129000	so what the Arabs used to do is they used to put like a cushion, a little bit,
129000	135000	and then put the saddle on top, so its skin does not become irritated, right?
135000	140000	But then it's, and they wouldn't take the saddle off, and the saddle is sitting there for months and months and months,
140000	145000	and then they take the saddle off, and that pillow is so embossed on the skin of the horse,
145000	148000	that they have to peel it off like a sticker too, right?
148000	150000	It's just, it's really stuck on there, right?
150000	155000	That's actually called a waliya, because it gets really stuck on there.
155000	160000	A waliya is a friend that's really stuck to you.
160000	162000	That's actually a waliya.
162000	166000	You're stuck to them, they are, stuck to you.
166000	170000	And they're with you no matter what, a strong relationship, waliya ful'anan,
170000	174000	to come after or be right immediately next to someone is actually waliya.
174000	178000	In modern Arabic they say atadi is the next, it's from the same origin actually.
178000	182000	Atadi, okay? It's from Wa'u Dhamman, yeah.
182000	187000	So, from there, another meaning of wala is actually to command something,
187000	191000	like the one who has authority over something, okay?
191000	195000	Now, it has opposite meanings, the one who turned away from something,
195000	197000	the one who turned towards something, right?
197000	199000	Now, what does all of this mean?
199000	203000	The kind of friend, because Arabic has lots of words for friends,
203000	208000	but the kind of friend that is always stuck to you, always with you, never leaves your side.
208000	211000	That would be your waliya, that would be your waliya.
211000	218000	And if you have the assumption that Allah will be on your side no matter what,
218000	221000	that would be awliya, awliya linda.
221000	224000	Now, it is the Quran, if you know a little bit of Arabic,
224000	227000	awliya could be a mudaaf, and the word Allah could be the mudaaf,
227000	228000	like,
228000	233000	alla inna awliya allahi la hawfun alehim wala umyahzanun,
233000	237000	which means the close friends of Allah.
237000	240000	The close friends of, I'm using the word of Allah.
240000	246000	But this one is, if you think you are friends to Allah, not of,
246000	250000	it's awliya li Allah, there's a laam in between.
250000	256000	The laam creates a grammar and rhetoric, it creates a distance, it's ibad,
256000	261000	which means in this ayah Allah did not put them so close, even in that claim.
261000	265000	They could have been closer with what words awliya Allah?
265000	271000	But Allah said awliya linda, which may also actually be a commentary on,
271000	276000	you're not really sure this is the case, and you don't really act too close to Allah.
276000	283000	So, I mean, even if you made that claim, it's kind of iffy, so it's awliya linda.
283000	286000	And then you believe this to be as opposed to all other people.
286000	289000	This is the key to the ayah, mendud innaas.
289000	293000	There are two qualifications that are going to come, this is the first of them, mendud innaas.
293000	297000	What does this mean? It means if you think Allah will be on your side,
297000	302000	no matter what, because you are the chosen people, and everybody else is supposed to go to hell,
302000	307000	everybody else doesn't deserve that special place that you deserve with Allah,
307000	316000	then if that is in fact the case, that means that no matter what, you are guaranteed jannah.
316000	320000	That's what that means, you're guaranteed heaven, there's no way around it.
320000	325000	And if you're guaranteed heaven, by the way, is the Muslim guaranteed heaven?
325000	330000	No, no, we have to beg Allah, and we even judgment they were begging Allah,
330000	333000	Rabbana tbimlana nurana, Allah complete our light.
333000	336000	We're walking towards it now, we still don't have a guarantee.
336000	339000	Even the people who have the book in their right hand are begging Allah,
339000	342000	let this walk complete, please, ya Allah.
342000	345000	The battery should not die on the light that you gave me,
345000	348000	it starts flickering and it goes on, that would be a problem.
348000	350000	Let the light stay on until we get there,
350000	353000	atmimlana nurana wa sildanan, forgive us, right?
353000	355000	We don't live with that guarantee.
355000	359000	By the way, Christians sometimes have conversations with fun Christians, sometimes it goes,
359000	362000	you know, you should accept Jesus as the Lord and Savior,
362000	368000	because you're guaranteed heaven, ya'll don't have a guarantee, do you?
368000	371000	Like, no we don't, neither do you.
371000	373000	Yes, we do.
373000	374000	I was like, you do?
374000	377000	The one time one pastor told me, we have a guarantee for heaven.
377000	379000	I was like, okay.
379000	383000	If I accept this, I'm thinking, when this conversation is over,
383000	386000	I've always imagined what it would be like to rob a bank.
386000	388000	I want to do it.
388000	390000	I was like, why would you do that?
390000	392000	I was like, because I'm going to go to heaven anyway.
392000	395000	What's stopping me from doing it?
395000	398000	No, but if you had Jesus in your heart, you wouldn't do it.
398000	401000	I was like, then what did he pay for?
401000	404000	I thought he paid for my sins.
404000	408000	If I'm not going to sin, then he paid for nothing.
408000	412000	We should have paid for something.
412000	415000	So let me go do it.
415000	419000	So, you see how it starts falling apart?
419000	425000	Then, on this side, if in fact, if it is the case that you are truly the friends of Allah
425000	429000	and you have a guarantee of heaven, then let me just tell you,
429000	432000	let's not the Islamic view that I just presented.
432000	434000	Let's take the other view.
434000	437000	The other view would be, imagine if the Muslim was told,
437000	441000	no matter what you do, Allah is with you, you will be given what?
441000	442000	Jannah.
442000	443000	Then what do we know about Jannah?
443000	445000	Is it better in this world or no?
445000	448000	In this world, poor guy, he has to go to college,
448000	450000	he has to fail a test, he has to take a review,
450000	453000	he has to pay the tuition, he has to convince his parents,
453000	455000	I want to get married, I want to get married.
455000	457000	They don't let him get married.
457000	460000	He finally likes a girl and he proposes and then she says no.
460000	465000	And then, there's so much he's got to go through, poor guy.
465000	467000	And then eventually he gets married and he's like,
467000	470000	this is not going to be the most amazing thing ever because I'm married.
470000	472000	And then he finds out what marriage is.
472000	480000	And then, you know, then he's changing diapers in no time and
480000	483000	they don't smell that good.
483000	487000	You know, every joy comes with pain in this life, doesn't it?
487000	489000	Getting a new job is joy.
489000	494000	But after a couple of days on the job, getting a nice car.
494000	495000	Awesome.
495000	498000	Getting stuck in traffic.
498000	501000	You know, first time people sit on a plane,
501000	504000	like if you get kids on a plane.
504000	509000	Six hours later on the same flight.
509000	512000	Where are we landing?
512000	517000	If you have the guarantee of Jadna, you're not going to get old.
517000	519000	You're not going to get sick.
519000	523000	You're going to have the best housing, the best spouse, no problems.
523000	525000	What are you doing here?
525000	529000	Gold role?
529000	535000	Because there's no point being here if you have so much better waiting for you.
535000	541000	You don't have to deal with war and famine and disease and sickness and old age.
541000	544000	There's nothing. Go.
544000	547000	You know what this, Allah is not telling them to wish for death.
547000	552000	Allah is saying if you actually believed what you believed, you would be.
552000	554000	You understand the point here?
554000	556000	Do we believe this?
556000	560000	And because we don't believe this, we don't wish for what?
560000	562000	We wish for a good death.
562000	563000	We don't wish for death.
563000	564000	We wish for A. Good.
564000	566000	And we don't know when that is.
566000	570000	So we don't wish for it because we're not sure if we're ready for it yet.
570000	572000	We just, yeah, Allah just give us a good death.
572000	574000	Give us death among good people.
574000	576000	Give us death while we're in a state of Islam.
576000	578000	Give us death when we're in a state of Taqwa.
578000	580000	This is our doves.
580000	582000	A completely different worldview.
582000	586000	And Allah is saying anybody who believes that they are saved in some way,
586000	589000	they should be wishing like this.
589000	593000	Now, it's the Mandun in us is also really interesting because right before this,
593000	596000	when the previous section that we were discussing, what did Allah tell us?
596000	600000	These Umayyin are coming into the final this religion of God.
600000	604000	And then the Umayyin invitation is being opened to every nation on earth.
604000	609000	All the people that weren't going into Jannah now have a chance to be purified.
609000	612000	And you're like, no, they're not going to go to Jannah.
612000	613000	Where the hell are they going to go to Jannah?
613000	615000	Well, then go.
615000	617000	Put them a down vote.
617000	619000	Go ahead.
619000	621000	In Qutul Saad-i-Qeen.
621000	622000	These are some other ayat.
622000	625000	Actually, I won't go through them because that level take too long for you guys.
625000	631000	But for your own homework, you should kind of look at places in the Quran where the word wadi is used.
631000	636000	Just as an analysis, like what is the word, the relationship between me and Allah of wadi?
636000	637000	What does it look like?
637000	640000	These are a couple of ayat that I selected like Allah,
640000	644000	wa li-latina, aamanu yusriju'un min al-lumati lannu.
644000	647000	Allah is the protective friend of those who believe.
647000	650000	He pulls them out of darknesses and brings them into light.
650000	653000	By the way, the second ayat of this Surah,
653000	657000	yaddu alayhim ayatihi wa yuzakkihim wa yu'alimu al-kitab wa al-hikmah, you know what that is?
657000	663000	Allah pulling people out of darkness into light, which means Allah is being their wadi.
663000	669000	Because Allah says in Surat Al-Baqarah, Allah as a wadi, pulls people out of darkness into light.
669000	670000	It's pahadallah.
670000	673000	That's what wadi actually does.
673000	676000	That's what the wadi, if you're truly the awliya' of Allah,
676000	679000	then you're journeying from darkness towards light.
679000	680000	That's what you're doing.
680000	683000	And every day you're identifying some other kind of darkness
683000	686000	and you're making another step and another step and another step and another step.
686000	689000	That's when you're awliya' of Allah.
689000	691000	By the way, the term awliya' of Allah,
691000	693000	I'm going to say something that's going to sound controversial to you guys,
693000	695000	but it's okay, I'm leaving in a few days.
697000	700000	We have this concept in some of our Islamic traditions
700000	703000	where some people are considered the awliya' of Allah.
703000	706000	And even nowadays there are some traditions in which people say,
706000	709000	I have a wadi of Allah in my neighborhood.
709000	711000	I have a wadi of Allah in our village.
711000	712000	We have a wadi.
712000	713000	Right?
713000	714000	These are the...
714000	716000	And what is a common threat among...
716000	718000	It's in different cultures, by the way.
718000	721000	It's in South Asia, it's in Southeast Asia, it's in different places.
721000	723000	Turkey, other places, right?
723000	727000	And these awliya' of Allah, they are deeply connected with Allah like you cannot be.
727000	731000	What they all have in common is they're spiritually connected to Allah.
731000	732000	You're not.
732000	736000	And they can help you get closer to Allah because they're already...
736000	739000	They already graduated from the school of distance.
