start	end	text
0	6060	Sometimes you have people at the at the restaurant can I have some ketchup? We don't allow that here. We don't give extra ketchup
7440	8640	Really
8640	14040	Read the sign. I saw you give it to your cousin. It was about right before you give him four extra ketchups
14040	18140	You can't give me a ketchup. I know you have the Aiza and you're acting like you're working under the milk
20080	22080	The strangest of seed of Quran
22680	24680	Now
27960	31440	Let's move on to al-Azeez you got work to do so
32080	36400	Al-Azeez is one of the most common names of Allah. It comes from
37080	39080	Earth actually
39600	43440	Azaza Azaza ma'zuza. This is all used for tough ground
44040	49600	Like you know earth you can dig in too easily. That's not arda Aziz or Azaz or Azza
49600	57480	But earth that's made of rock and you can't break through, you know tough earth. That's actually called Azaz unbreakable soil
58360	62120	Unbreakable land like rocky land. That's called arda ma'zuza
62640	68760	Farasul mu'tazza was used in mu'tazza as the attribute here for a horse that has very strong muscles
68960	72320	Like it's rock solid. It's built like that. That's called mu'tazza
72320	78800	And then sometimes they had a camel that had a disease where its muscles become stiff like muscle atrophy
79160	82480	Right and when it became so stiff you couldn't milk the camel
82480	87280	You couldn't get the milk because its muscles are all tightened up and that was actually called naqatun azuz
87840	94640	Because it became so tough. So the common theme you're learning is rocks that are tough muscles that are tough muscles that have become stiff
94640	99320	The eqatun ahali. This is mistycle mistycle. Ahali min shiddati nasiji tahmiha
99320	104800	It's because because of the tightness or the atrophy of the muscles. You cannot get milk out of the camel
104800	108440	Okay, al-Azeez also means the elevation of rank
109000	111000	so if you went from
111800	117000	Internship to manager to executive manager to director you are increasing in is
117440	122120	You're increasing in your rank in your company an invincible person
122120	124960	Let me explain what invisible here means nobody can take you down
125400	129720	Nobody can attack you. Nobody can challenge your position if you're in an untouchable position
130280	132280	Then you are called al-Azeez
132840	135800	Al-Azeez one one punch man in his cartoon show is
136440	142820	Aziz, okay, so if you want to buy analogy if you'd like to you know, so Superman without kryptonite
143600	146680	Is Aziz until Kryptonite shows up or the Hulk or so?
146680	152040	I don't know what but these are examples of somebody who's invincible can't be broken can't be defeated, right?
152040	156120	And that's called al-Azeez al-qawee al-shadeed al-ghaalab al-ladila yuhaalab
156200	160200	There's the strong one that wins every time and cannot be won over
160520	165160	Maa la yumkin this type of my mother you can't will soon we're a he met the house and Aziz
165160	167920	It's also used for something that is impossible to
168520	174680	Beat like they use it for a castle or a fort, you know castles used to have these walls outside
175280	179960	Right so that armies can't just walk in they have to try to beat the wall and break the wall or
180280	186920	Cattle pulled the wall, you know to be able to penetrate but a wall that will just won't break and a castle that just won't be
187640	190840	You know dominated is actually called his son Aziz a
191480	197680	Fort that is impossible to break through an impregnable fortress to strengthen and empower is Azza
197680	202800	This is used in the Quran like you know in surah Yasin. There were three messengers sent to one nation
203240	205440	Right if I've sent a lay him with name
205760	208880	Faka Zabahuma fa Azzaz na bethalifin
208880	214480	So same from the same word Aziz we sent them to messengers then we made them stronger with the third one
214480	222080	So to empower is actually the meaning of the Aziz and Azza is also used for when you are bullying someone
222560	226440	When you're being tough with someone from the same rugged tough
227160	230040	Overbearing it's used for example in the story of Dawood
230240	233080	Alayhi salam when he was praying in his quarters and
233800	240280	Two people just showed up in his private quarters, right and they said oh, this is my brother. He has 99 sheep
240280	243080	I only have one right and they said
243080	246000	Azzani fil hita use that word Azzani fil hita
246000	251760	He's really tough with me and he's intimidating and he's overpowering me and bullying me when he talks to me
251760	258320	So as I use when you're overpowering someone and Azza Adaihi is also used when you are afflicting or hurting someone
258320	261840	Okay, now this is just some of the background dictionary meanings of the word
261840	267040	Let's talk about how it's used for Allah in a second in the Quran. It's used 89 times for Allah
267400	270640	It's quite a bit is one of the most common names of Allah in the Quran
271160	276040	Ten other times it's used for other than Allah, so it's not only used for Allah
276040	280520	It's also used for other than Allah so for example in surah Yusuf
280520	284880	Musa Ali Yusuf alayhi salam ended up in the house of someone called what?
285520	291800	Al-Azeez Al-Azeez and when Yusuf alayhi salam came out of prison and he was made
292120	299600	Minister and his brothers came barely with any food and they were starving. They were broken. They said you had Aziz
300080	302080	So who did they call it Aziz?
302480	307800	Yusuf so Yusuf used to be the slave of an Aziz and eventually took his job and became an Aziz himself
308200	312040	So he was the minister and that's one of the words in Arabic for the minister
312040	319960	So similarly there are you know in the Quran Allah describes a person being thrown into hellfire that used to have a lot of power in Makkah
320480	326280	And he says look taste this hell in Naka and tell Aziz al-Kareem. You're the Aziz, right?
327240	329240	Please sir enjoy this
329640	335160	You know so this sarcastically they're being made to taste the punishment of hell because they used to use their power in the wrong way
335720	341560	Al-Azeez also so and and this is an observation we will get into when we finish this discussion
342400	345000	47 of these times so 89 times altogether
345800	350880	47 times Allah uses this word with al-Hakim al-Azeez al-Hakim or
351160	355520	Aziz al-Hakim or Aziz al-Hakima so two names of Allah paired together
355720	358040	You should know from my own studies
358040	363640	I'll share with you my own theory on what I find the most convincing approach to studying the names of Allah in the Quran
363840	367680	You know people say well, how why don't you do a series on the names of Allah? It's like if it was that easy?
367680	371160	I could I wish it was it's not that simple
371320	373720	So here's what just some things that you might
374240	379560	Benefit from that will help you in your own pondering and your own study in your own thinking about the names of Allah
380000	381840	Every name of Allah has a unique identity
382400	389320	So you should ponder al-malik by itself al-Qudus by itself al-Azeez by itself al-Hakim by itself
389320	391720	Every one of them has their own unique identity
392320	396260	But then what Allah does is sometimes he puts two of his names together
397400	404880	When he puts them together each one of them still has their own unique identity, but together they create a new meaning
405640	410640	They create a third meaning. So there's the meaning of a there's a meaning of B
410920	413840	But a and B together create the meaning of C
413840	416240	So there's a C meaning also that happens
416240	420960	We know like in chemistry you have one element and two element and they have a chemical reaction and now it's a compound
421200	426480	It's a different thing now. It's similar to that. So ghafur has its own qualities
426640	432840	Rahim has its own qualities, but ghafur and Rahim together also have a third quality a unique distinction
432840	435800	So al-Azeez al-Hakim comes together many many times
436160	441320	Which means al-Azeez has qualities al-Hakim has qualities and together they have a unique distinction
441320	444040	Which we will get to when we get towards the end. Okay now
445240	449560	Aziz I'll tell you some things about the word Aziz the two basic meanings
450040	455440	One is power and strength that cannot be overcome the unbeatable one
455880	462440	If someone is Aziz they are unbeatable. Okay, someone has Izzah. They are unbeatable. Okay
463160	465720	This word is used even like for example
466600	476960	By umar bin al-Khattab, radi Allahu ta'alaanhu wa-saz. Az-zan Allahu bil-Islam. We are a people. Allah made us unbeatable because of
477800	478920	Islam
478920	487720	Why is it that Izzah is from other than Allah and when we seek power from anyone other than him, Allah will make us weak
