start	end	text
0	5740	In many cultures, you cannot get married until you have this much degree, this much money,
5740	9840	you've done this, this, this, this, and then maybe we'll think about getting you married.
9840	14640	And then once you are ready to get married, the mahar has to be this amount and this amount and this amount.
14640	22340	What Allah did in Islam is He made the path to halal easy and the path to haram difficult.
22340	28000	And when you make the path to halal difficult automatically, what becomes a lot easier?
28160	31000	The haram becomes way easier. It's so much easier.
31880	32380	You know?
37140	40640	Assalamu alaikum. Before you begin this video, just quickly wanted to let you know that
41040	43800	so much of the work on the Quran has been completed on Bayanat TV.
43800	47840	I want you to enjoy systematically studying the Quran from the beginning all the way to the end
48080	49920	in brief and then in great detail.
50120	53080	And to do that, I'd like for you to sign up on BayanatTV.com
53080	55620	and once you appreciate what's going on in Bayanat TV,
55660	59380	I want you to become an ambassador for it and share that subscription with friends and family
59380	61220	and give it as a gift also. Thank you.
62140	65860	Anyway, so now let's move on to financial cleansing.
67020	71460	Don't cheat each other in money matters.
71460	76740	Don't use money to grease the palms of politicians.
77860	81140	So you can cheat people and take their money.
81820	84340	Don't use bribery and corruption in politics.
84740	88220	Don't use corruption in financial matters.
89380	95180	You know, don't cheat each other, pay each other's money back, have clear contracts, fulfill your agreements.
96180	97620	What is that doing in a society?
97620	100420	It's cleaning up the financial dealings in a society, isn't it?
101300	104660	That's also a cleansing. There's a familial cleansing.
105420	110060	You know, this society, European society, Western society, America and Australia and Canadian,
110060	110660	they're all different.
110660	115700	But one thing you will notice there that you don't see as much in the Muslim world today is law and order.
116980	119980	Right? They have some things that I wish we saw more of in the Muslim world.
120540	124500	I was in Denmark in one place taking a walk and some guy was telling strawberries
124780	129060	and he just left his strawberries by the water with a bucket to put money in
129380	132180	and the sign of how much you can weight yourself, put money yourself.
132660	134860	And people come and they put the money in the goal.
135620	139780	And I'm like, huh, let's try this in Pakistan.
140980	148100	Forget the strawberries, the weighing machine.
156420	160980	So you look at and some of some of them, they come from, they see all that kind of corruption in the Muslim world
161220	166740	and then they come to Western nations to see there's so much honesty and integrity and there's so much good.
167220	174780	Yes, in some matters, they are actually closer to Tessgihar than the Muslims are, culturally speaking.
175100	177220	It's true. They're more integrity.
178780	182860	But in other matters, like, for example, how we treat our parents,
183660	187820	but the way Islam conditions us to treat our parents, especially as they get older.
189100	194500	Do you see how people are treated in these societies, how elders are treated in these societies,
194860	196860	how teenagers treat their parents?
197420	202260	Some guys, you know, dad's name is Frank and he was going to call them daddies and say, hey, Frank,
203420	204420	I'll be out late.
205820	210980	You know, and my dad's stupid, man, my old man, they don't even call my old man.
211940	214420	Right. My mom is so annoying.
215620	217820	I hate my parents.
217820	219820	Now you can have emancipation laws in America.
219820	223020	We have emancipation laws, meaning I declare myself free of my parents.
223300	228100	I have nothing to do with you.
228780	229780	They could do that.
230580	239060	And you have this beautiful tradition inspired by our religion, where we do we treat our parents with kindness and respect and goodness and
239420	241180	ihsan and everything that we can do with them.
242340	246220	That's and our siblings and our the young, right?
246260	247940	There's a there's a lot of them.
247940	251340	There's a love and care towards them, even the prohibition of alcohol.
251900	253460	Right. You will think it just has to do with food.
253460	255580	Do you know how many families are destroyed because of alcohol?
257220	261140	Like or gambling unless it's don't gamble, you know how many families are destroyed because of gambling?
262740	267860	Right. When he when he says don't commit Zina, you know how many families are destroyed because of Zina?
269460	274180	Right. So like the laws actually purify the life of a family.
275140	278060	And even the way in which breakups happen.
279060	280540	Okay, marriage is a reality.
280540	283260	So is divorce and divorce is ugly.
283940	284740	It gets ugly.
285500	286820	You know, I used to love you.
286820	287340	Now I don't.
288660	289500	I want to get away.
290380	292140	Well, Allah says, yeah, it might get ugly.
292260	296260	Here are exhaustive instructions on how to make sure divorce doesn't get ugly.
296860	300540	You know, in the Quran, Allah didn't talk about marriage a lot, but he talked about divorce a lot.
302220	305020	There's like multiple pages on divorce in Surat al-Baqarah.
305020	306420	There's a whole Surah, Surat al-Talaq.
307140	307980	There's no long.
307980	309380	Here's how to make a marriage happy.
309620	310660	That's just on YouTube.
312220	313260	That's not in the Quran.
315180	316340	You know why?
316340	320900	Because you can figure out how to make a marriage work, but you don't know how to make a clean exit.
322340	323260	You don't know that.
323660	324740	So Allah will teach you that.
325260	326820	He purified relationships.
327060	329380	He even purified the ends of relationships.
329780	335620	He purified even matters that happen after death, like how should family assets be destroyed?
335740	337020	Asset be distributed.
337820	339780	And then of course, there is societal cleansing.
340580	344300	Societal cleansing means Allah saved us from the burdens of culture.
345340	349260	Allah saved us because cultures create standards that are very difficult.
350100	358500	You know, like for example, in many cultures, you cannot get married until you have this much degree, this much money.
358860	362740	You've done this, this, this, this, and then maybe we'll think about getting you married.
