start	end	text
0	8000	Allah put inside the male something. He put inside the male the desire to look at beauty.
8000	12000	I don't have to convince you of this, you already know.
12000	18000	You're like somebody's like, I don't know what you're talking about. Yes, you do.
18000	26000	He put inside the male the desire to look at beauty. He put inside the female the desire to look beautiful.
26000	31000	He put it in her from the early ages. Allah put that in her fitrah.
56000	61000	I want to say this in the form of a word and share that subscription with friends and family and give it as a gift also. Thank you.
86000	92000	Peace be upon the Messenger of Allah and his family and his companions. Peace be upon you.
92000	98000	Wrapping up our discussion on ayat number six. I'm going to read something from I believe this is Ibn Ashur Rahman Allah.
98000	107000	That is because believers are supposed to be between hope and fear from Allah.
107000	111000	So we don't wish for death because we are between hope and fear from Allah.
111000	124000	They do not assume and live with the assumption that success is guaranteed for them as these people assumed.
124000	130000	Now we get to the next ayat. By the way, all three ayats are going to be about death and we get this kind of philosophy on death also.
130000	140000	They will never wish for it because now the translation says because of what their hands are holding.
140000	145000	That's the literal translation because of what their hands put forward.
145000	154000	Now the first thing I want to share with you is disclaimers.
154000	160000	In the previous ayat, the disclaimer was if you feel you are saved as opposed to everyone else, that was the qualifier.
160000	164000	Or if you are Allah's friends as opposed to everyone else.
164000	171000	We should want to be friends with Allah but the Muslim will not think as opposed to everyone else because Allah already told us,
171000	178000	other people are going to join. Allah already told us if you step back Allah will replace you with other people.
178000	183000	So we don't have this absolute guarantee that it's us and no one else can ever take our place.
183000	188000	We don't have that mentality because Allah didn't let us have that mentality in His revelation.
188000	198000	Now in this next ayat Allah doesn't just say they're never going to wish for death but Allah says why will some of them never wish for death?
198000	201000	Why is it that they won't wish? Allah gives the reason Himself.
201000	203000	He says,
203000	209000	And now before I explain what that means, just something about the ba in Bima Qadamat-e-Adihim.
209000	216000	Saba-biyatun, buta-alliqatun, Bima yadullu aalayhin nafi, aya-bawnat-at-tamanni, Bisaba Bima Qadamat.
216000	221000	What that means is literally because the word ba would mean because.
221000	228000	In other words, they will not wish for death because of stuff they've already done in the past.
228000	232000	So because of what their hands have done refers to what they've done in the past.
232000	234000	So the word because would be the meaning of ba.
234000	235000	The other,
235000	241000	جوزة عالنقه بالانتفائيك أنه قيل انتفا تمنىهم بسبب ما قدرت.
241000	246000	The other meaning is they no longer have that desire.
246000	253000	They used to have it, but they don't have it anymore because of something that's happened, because of some deeds of theirs.
253000	258000	In other words, they did actually have the desire to meet Allah in a good way and all of that,
258000	261000	but over time because of sins that desire went away.
261000	267000	The only way we can unlock the meanings of this ayah is actually to understand the phrase Bima Qadamat Aideehim.
267000	275000	That's the core, that's the crux of this ayah, which is they won't wish for it because of what their hands sent forward.
275000	277000	At taqdeem, what does qadama mean?
277000	281000	أصله جعل الشيء مقدمن, to put something in front, that's مقدم.
281000	287000	So for example, I'm sitting here, I put the laptop in front of me, I made the laptop مقدم.
287000	289000	I put it ahead of myself, okay?
289000	291000	أسابقا meaning I had.
291000	293000	غيره في بكان يقعه في غيره.
293000	295000	والأي دي مجازن في الاقتصاب.
295000	299000	And the hands is an expression in Arabic for earning deeds.
299000	306000	The أن اليد يلزموا الاقتصابه غالبا meaning deeds, our actions are done by our hands for the most part.
306000	310000	So when someone says, you had a hand in this.
310000	312000	Somebody says you had a hand in this.
312000	314000	You know what that means? You were involved in this.
314000	317000	It doesn't literally mean you had your hands stuck in this.
317000	319000	It means you were involved in this.
319000	321000	So it's a figure of speech for involvement or actions.
321000	326000	Now, the Qur'an repeatedly talks about this concept of dakdim.
326000	331000	A good way for you guys to think about that in easy English is prioritizing.
331000	334000	To make something a priority.
334000	340000	Every day in our lives, we have to make a decision about what is the top priority.
340000	344000	Like if you have one hour before class starts, what is your priority?
344000	346000	What are you going to do first, second, third?
346000	349000	And the morning you wake up, you have a list of priorities you got to get done.
349000	351000	Everybody has a checklist.
351000	355000	And in that checklist, what is the most important and second important and third important?
355000	358000	It's either in our head or it's on your calendar or you've made notes.
358000	363000	When your wife or husband or whoever sends you to the grocery store,
363000	366000	then you have a checklist, priority items to get.
366000	370000	Like if you have a baby, you can forget everything, don't come home without the diapers.
370000	374000	That was the most important thing. How did you forget that?
374000	378000	So there's always this concept of priority, meaning something that takes more importance.
378000	383000	And every one of us knows at the end of the day, we were not able to do all the things we were supposed to do.
383000	386000	There's always things that are left that we were supposed to do, right?
386000	392000	But those things became mu'akhar. They got delayed because other things became muqaddam.
392000	393000	They became forward.
393000	398000	Qaddam at Aideehim also means some things became priority for these people.
398000	403000	Some behaviors, some goals became a bigger priority.
403000	408000	And those goals took them away from the friendship of Allah.
408000	412000	Actually, the previous ayah basically says if you truly were friends of Allah,
412000	416000	then you would wish at least for a good death in one way you can take the meaning.
416000	420000	So now they won't wish it because they're not really friends with Allah.
420000	425000	So then the question is what did they do that took them away from Allah's friendship?
425000	428000	Allah's closeness, Allah's protectiveness.
428000	432000	And that is some wrong things became priority for them.
432000	435000	So this discussion is brief but important.
435000	438000	And that is what does it mean that the wrong things become priority?
438000	440000	There's two things I want you to note here.
440000	443000	One is things that are prohibited or forbidden or evil.
443000	451000	Meaning my desire, my lust, my greed, my jealousy, these kinds of things.
451000	456000	When they become the top thought in your mind, I actually wrote this down in my notes.
456000	461000	I want to read this to you because this has to do with desgiyah also.
461000	465000	You know how the ayah said Allah purifies them with the ayat?
465000	468000	So here are some things I want you to make note of.
468000	472000	Anger, jealousy, comparison, worthlessness.
472000	475000	I know there's a lot more. I'm talking fast. It's okay.
475000	477000	You can repeat. What was it?
