start	end	text
0	3760	So the donkey that was trying to get rid of its burden ended up
3760	7520	carrying even more, which is an interesting analogy because the Israelites,
7520	11040	they tried to play with the word of Allah and the more they tried to play with it,
11040	14320	life became more and more difficult for them.
14320	16720	Three more complications came in their life.
16720	20480	Obeying the word of Allah makes life easy.
20480	24240	Disobeying the word of Allah makes life difficult. That is the Quran's formula.
24240	27840	It's always been there since the beginning.
30880	34240	Salamu alaikum. Before you begin this video, just quickly wanted to let you know that
34800	37520	so much of the work on the Quran has been completed on Bayna TV.
37520	41840	I want you to enjoy systematically studying the Quran from the beginning all the way to the end
41840	43840	in brief and then in great detail.
43840	46960	And to do that, I'd like for you to sign up on bayanatv.com.
46960	49440	And once you appreciate what's going on in Bayna TV,
49440	53200	I want you to become an ambassador for it and share that subscription with friends and family
53200	54800	and give it as a gift also. Thank you.
60000	62000	Salamu alaikum.
84800	86800	Once again everybody, salamu alaikum.
86800	89200	We're going to take a little bit of
89840	92480	closer look at some excerpts from Jewish literature,
92480	93920	from Jewish scholarly literature.
94720	98080	This is something called the Sefri Debarim.
98080	101680	It's a Midrash compilation. Midrash is one of their earliest scholarly works,
101680	105120	kind of the Tafseer work from the third and the fifth century.
105120	107600	And it's called an analogy of the Jews and the Gentiles,
107600	110080	basically the believers and the Umayyim.
110080	112480	So Gentiles, the Goyim, are the Umayyim to them.
112480	117280	Okay. And here's the analogy. Listen to this carefully. I'll explain as we go.
117360	120960	A man sent his donkey and his dog to the granary,
120960	126000	where 15 saha of grain, basically 15 bags of grain,
126560	130160	were loaded atop the donkey and three on the dog.
131280	133600	So 15 on the donkey, three on the dog.
133600	138080	The donkey walked and the dog strained to breathe his tongue lolling.
138640	142240	He cast aside one saha and placed it atop the donkey.
142240	146080	Then he then sent the same with the second and then the third.
146080	148880	This is how Israel accepted the Torah,
148880	152080	together with its commentaries and its minutiae.
152080	155200	Even those seven commandments that the Noah hides,
155200	158480	meaning the survivors from the time of Nukh Ali Salaam,
158480	162720	could not abide and cast aside. Israel came and accepted.
162720	165840	Okay. So the idea in this literature is that they,
166480	170480	humanity, the rest of humanity could not carry the burden of revelation
170480	173520	and they decided to be the ones to carry it.
173520	176320	So who gets credit? The Israelites get credit.
176320	179040	If you look at this ayah, Allah responds to this by saying,
179040	181840	Homilu, they were given the burden.
181840	184480	They didn't take it, they were given the burden,
184480	187120	so that credit is not given to them using the passive form.
188160	189920	On top of that, they didn't carry.
189920	192400	Now two animals were mentioned in this analogy.
192400	193280	What are the two animals?
194320	195120	Donkey and the dog.
195120	196880	And the donkey was able to carry the burden
196880	199840	and the dog was not able to carry the burden.
199840	201520	It's interesting that in the Quran,
201520	203920	both the analogy of the donkey and the dog is used.
204720	207200	Responding to this, in this surah, it's the donkey
207200	209440	and in Surat al-A'raf, it's going to be the dog.
209440	211280	And literally the donkey burden too.
211280	214400	In tahmed alayhi al-yalhaf wa'intatruku yalhaf,
214400	217600	if you put a burden on the dog, it will start drooling
217600	220560	and if you don't put it, it will still start drooling
220560	222400	because they are people of dunya.
222960	223520	Right?
223520	225360	But we'll get into the dog analogy one day
225360	226960	when we study Surat al-A'raf,
226960	229600	but right now I want to tell you about the donkey analogy.
229600	232400	The idea is the donkey was able to carry the burden
232400	233920	and therefore became the hero.
234560	236640	And thus is the burden of the Israelites.
236640	238720	You see how Allah is using something they used
