start	end	text
0	4400	But then comes a much more difficult question.
4400	8500	If creation is imperfect, by the way, am I perfect?
8500	10200	No, are you perfect? No.
10200	13200	Is anything in the world perfect actually?
13200	15200	No, the only one who's perfect is who?
15200	18700	Is Allah. So now here's the problem, here's the philosophical problem.
18700	23400	The problem is, if I see a beautiful painting, I say the artist is creative.
23400	29000	But then how can I see something imperfect and then say the maker is...
29800	31000	Perfect.
31000	33100	How can I see that it's perfect?
33100	37600	Because we're saying everything declares how perfect Allah is.
37600	39900	But everything itself is not perfect.
39900	44400	So how is it in evidence that the maker of it is perfect?
48100	50100	And so it's hinting at the future.
50100	56200	There's another subtle in the surahs where the tasbih is mentioned in the future tense.
56300	62000	Something in this surah is coming that's going to tie into the future.
62000	65000	Because the tasbih is also mentioned in the future.
65000	68100	So we're going to keep an eye open for that when we study surat al-Jumrah
68100	71500	because the tasbih is hinting towards the future.
71500	74100	Right? So we'll see how that manifests itself.
74100	79800	Now, let's talk a little bit more about how is everything doing tasbih.
79800	82000	I've given you the basic overview of that.
82000	84600	Mufasirun talked about Haqiqa in the Sanu Al-Hal.
84600	85600	What does that mean?
85600	88200	How can you say the atheist is doing tasbih?
88200	90200	How can you say that mushrik is doing tasbih?
90200	92000	They're not doing tasbih.
92000	93900	How can you say the shayatina are doing tasbih?
93900	95100	They're not doing tasbih.
95100	99300	How can the Quran say whatever's in the skies and whatever's in the earth is doing tasbih
99300	103800	and will continue to do tasbih when the contradiction to that exists?
103800	106600	For everyone, for you know, believers have always been the minority.
106600	108900	Disbelievers have always been the majority.
108900	112800	They do the anti-tasbih.
112800	114100	So what does this mean?
114100	116900	Allah is here referring to the Sa'ad Al-Hal.
116900	119600	The Sa'ad Al-Hal means the way that something is.
119600	121800	So let me put that in the simplest way for you.
121800	130500	If you see a beautiful painting, doesn't it speak or declare the creativity of the artist?
130500	131300	Right?
131300	137400	If you see a marvel of engineering, isn't that a statement about their company that made it?
137400	138300	Right?
138300	140900	So your work speaks for you.
140900	142400	You understand that, right?
142400	144500	Your work speaks for you.
144500	148600	The amazing building speaks for the architect.
148600	149500	Right?
149500	156400	An amazing railroad system or highway system speaks of the government that put it together
156400	158500	or the engineers that put it together.
158500	159500	Right?
159500	165700	Your, your, if you cook the delicious meal, it speaks of your culinary skill.
165700	171200	Everything Allah created speaks of his perfection.
171200	173200	By, you understand that analogy?
173200	173800	It speaks.
173800	175600	That's called the Sa'ad Al-Hal.
175600	179800	But then comes a much more difficult question.
179800	183600	If creation is imperfect, by the way, am I perfect?
183600	183900	No.
183900	184600	Are you perfect?
184600	185900	No.
185900	188300	Is anything in the world perfect actually?
188300	188500	No.
188500	190700	The only one who's perfect is who?
190700	191200	Is Allah.
191200	192500	So now here's the, here's the problem.
192500	194000	It's the philosophical problem.
194000	199800	The problem is if I see a beautiful painting, I say the artist is creative.
199800	206100	But then how can I see something imperfect and then say the maker is perfect?
206100	208200	How can it's, how can I say that it's perfect?
208200	215000	Cause we're saying everything declares how perfect Allah is, but everything itself is not perfect.
215000	218400	So how, how is it in evidence that the maker of it is perfect?
218400	221400	This is, this is by the way, a very common atheist argument.
221400	223100	Oh, your God is so perfect.
223100	224000	Hmm.
224000	227200	What about cockroaches?
227200	229800	What about a rash on your skin?
229800	232700	What about my cousin?
232700	240500	Like a God is so perfect.
240500	253200	The point is actually the, the, the, I was created to live, grow and then die to have a life cycle and change by definition.
254200	257600	Change actually means imperfection.
257600	263700	If something doesn't, the only thing that doesn't need to change is something that's already perfect.
