start	end	text
0	3260	The reason I'm telling you all of this is nowadays we hear a lot of
3920	9620	People say oh you have to follow the Quran and the Sunnah and what they mean by Sunnah is Google whether there's a hadith or not
10560	12560	Right, that's not Sunnah
12720	21120	That's a hadith and to understand how that hadith was applied so that you understand the Sunnah is the next step
21880	26880	You can't just look at a hadith and say now I know exactly what to do. You understand
30160	35120	So before we talk about the change in sequence
35120	36120	Bismillahirrahmanirrahim
36120	37120	Wa-A'la wa-Sallam wa-A'la wa-Sallim
37120	38120	Wa-A'la al-Alihi wa-Sallim
38120	42000	Before we talk about the change in sequence with Ibrahim, there's two more things
42000	46800	I wanted to talk to you about in regards to the book and the wisdom that I didn't talk about in the last session
46920	51640	So I'm going to quickly mention them now one way you can look at wisdom is
52120	56880	Actually the way Allah describes wisdom in different places in the Quran if you take a look at that
56880	63120	You'll see that there's a difference between what you can call laws and on the other side morals
63480	70280	Laws and morals or morality ethics even another word for that can be ethics and the difference is important to understand
70280	72680	Allah is something that's very precise
73560	76920	Okay, like fasting begins at this time ends at this time. That's a law
77400	82640	The Salahs are at Kitab al-Muqtah. That's Allah specific in inheritance
82640	88280	Who which family member gets gets how much is a law? So laws are very specific
89040	94280	Another distinguishing factor with some laws is that laws when you break them are punishable
95040	100600	So there are laws that include punishments to right laws not every law has punishments
100600	103540	But some laws can also have punishments, right?
104640	109000	Another important factor about laws you should know is laws deal with
109680	111040	extremes
111040	118640	This is also in any society laws deal with extremes like most laws that are written in the books are not written for normal people
118640	120520	They're written for criminals
120520	127440	Right because the law of you know like controlling your speed on the highway or the laws against stealing or the laws against
127840	134400	Robbery or the laws against murder or the laws against those kinds of kidnapping and those kinds of things those laws are not written for
134560	138600	Normal people they're written for the most extreme criminal elements of society
138680	143680	So you'll find in the Quran the laws of the Quran of course deal with all of this they deal with specifics
144200	146200	they also deal with
146600	147840	You know
147840	151880	Punishments in some cases and then they also deal with very extreme situations
152440	155920	So just because you see a law in the Quran doesn't mean that that's meant for everyone
156000	160000	It's meant for very very extreme situations the craziest members of society
160400	165240	Need to have some laws on the book because you never know what human beings are capable of you understand
165440	169640	So I'll say something that's obvious as a crude example, but an important example
170040	172880	Unless it's for you but I like a little bit of a lot of you
172880	179160	Well, I thought you come on my to come like it's haram for you to marry your mothers and your aunts and your daughters and your you
179160	182140	know Allah says that but obviously it's obvious for
182760	185800	The vast majority of humanity, but some psychos are out there
186400	189840	That need to be punished if they have some sickness like that you understand
189840	197120	So the laws have to be there to prevent those kinds of extremes and to actually be able to punish those kinds of extremes if they happen
197120	198960	Anyway, so that's a little bit about laws
198960	203440	But let's talk about wisdom and I said this time wisdom you can look at it as morality, right?
203480	209200	So an example of wisdom in the Quran is what I tell chief in our demaraha walk on the earth with humility
209360	211360	Don't walk on the earth with pride
211800	215840	How do you know if somebody's walking on the earth with pride or walking on the earth with humility?
215840	217920	You can't have some Islamic police check. Hey
218440	220440	Fix your humble your walk
220840	225720	No, no, I'm not walking with swag. I have a swollen foot. That's why I'm walking like this
227200	230000	That's not my gangster walk. That's just you know, I have an injury
230720	233400	Right, you can't check if somebody's walking with pride
234040	238400	That's so one of the the first thing you should know about morality is you cannot
239280	243960	Immediately catch someone doing it or it's it's pretty much never punishable
244360	246840	You could obey the law and still be very immoral
247200	252520	You could be very unethical person. Unless it's for example, you know, don't raise your voice in surah
252520	255640	but with a passage on wisdom and let says, you know
256040	260120	Wadud bin sultekin na ankara naswati nasotul hamir lower your voice
260120	265720	The the argovious voice is the brain of a donkey the sounds made by a donkey or a mule
266360	271440	Right. So but does does that mean that if you raise your voice, you've done something hara?
271440	273200	No, you've done something
273200	274200	unethical
274200	275360	unwise
275360	280840	But you haven't necessarily done something hara so now we're learning that as far as our behavior is concerned
281480	284480	Allah expects us to act within the law and
285280	287760	Also, Allah expects us to I act wisely
288640	292840	The problem happens when a lot of people think all Islam is this halal and hara
293760	296920	Halal and hara is about the law, but it's not about what?
297960	302680	Wisdom so the only question is is this halal is this hara is this halal is this hara
302960	305440	Okay, it's not halal then it's okay. No, no, no
306160	309280	Hadad maybe halal, but they also at the same time may not be what?
310080	312720	May not be wise may not even be moral
313240	315240	That's the other side you got a check
315240	319680	Right, so that's that's another another dimension of it. Okay. It's a silly example, but like
320400	326800	Is it halal to eat peanuts? Yeah, but is it wise for you to eat peanuts if you have a peanut allergy?
328160	330160	Probably not
330320	336680	You understand so there is a distinction between morality and law so that's one quick thing the other quick comment
337280	339480	In regards to this is about hadith because you know
339880	343520	Imam Shafiq said that Hikmah can refer to the Sunnah of the Prophet Sallallahu Alaihi Wasallam
343520	345520	So I wanted to make a quick comment about
346760	348880	Humility in understanding hadith
349720	351720	so the thing is
351960	354960	This analogy will help you if you look inside a door
355400	360840	From a keyhole like a small hole in the door and you look inside how much of the room do you see?
362360	369600	Very little but if somebody looks inside the room and sees this much and then says now I will describe the entire room to you
370440	375040	Is that a fair accurate depiction or do you have to use a lot of the imagination?
376000	382920	In a lot of imagine. Okay. Now let me ask you the question if two people are talking about like let's say me and some other young man are talking
383400	388000	And he says I have a problem with my brother, you know, he's he's this he's back
388000	394240	You know, he beats me up or whatever. I'm talking to him. I say, you know what sometimes you should fight back a little bit or something and
394880	398240	You walk by and you heard three seconds of that conversation
399320	403000	Okay, you don't know the beginning of it. You don't know the end of it. You know the middle three seconds
404400	410400	Is it accurate for you to take the convert the three-second conversation and then say you know inspired by Assad
411200	419440	I think anytime you meet your brother you should beat him up because and I have an authentic recording of him saying fight back with your brother
420400	423480	So throw a punch or two. Would that be fair of you to do?
424200	430640	No, because you're not being first of all, you're not recognizing the conversations happen sometimes inside a context and
431520	433320	outside of that context
433320	435320	You cannot use them a
435600	441840	Doctor and a patient are having a conversation the doctor says you need to eat this this this and you need to you need to avoid
441840	446480	This this and this that's specific to the patient. Yeah, but this patient is an influencer
