start	end	text
0	2260	You will be returned to Allah.
2260	4200	Thumma tur ad-duna ilallah.
4200	5320	Make sense?
5320	6820	Allah chose to say,
6820	9860	you will be returned to the one who knows the unseen and the seen.
9860	12060	What does that have to do with this conversation?
12060	13540	What it has to do with is,
13540	17860	people that look religious on the outside,
17860	22700	but don't actually have faith on the inside affecting their hearts.
22700	27700	The Death Which You Are Running From
27700	31200	So, the death which you are running from,
31200	34400	fa innahum mulaqi kum, it is going to meet you.
34400	37600	Thumma tur ad-duna ila alim il-gaybi wa shahada.
37600	43400	Then you will be returned back to the knower of the unseen and the seen.
43400	45700	Fa yunabbiyukum bima kuntum ta'maloon,
45700	48200	then he will inform you of what you used to do.
48200	50800	That's the last ayah for the day.
50900	54300	Separated, so farra taferuna minhu,
54300	57500	the death you are running from comes from farfara,
57500	61100	or iftarra, when you show your teeth when you're laughing.
61100	63600	And when someone moves in a quick fashion,
63600	65700	when your mouth moves, you'll be like,
65700	69200	like that's farra, or iftarra.
69200	72700	Farfara al-ba'een, when a camel shakes its body,
72700	75600	al-mafar means a place to flee or run away from.
75600	77800	Actually, the wise meaning is not that important.
77800	81100	A well-fed lamb, wow, that's a really well-fed lamb.
81100	84700	Ha ha ha ha ha ha ha ha ha.
84700	87500	I think it's called that because it's fur shakes and stuff,
87500	88900	because it's so fat.
88900	92900	But anyway, so the idea of farra is something that moves quickly.
92900	96000	Like quick running, quick dashing.
96000	100800	Escaping also is farar, farrat bin qaswara.
100800	102900	Right? Donkeys or mules are there,
102900	106500	and they see a lion coming and the donkeys run, dash for it.
106500	108200	That's the word farra also.
108200	110700	Allah says, tell them, say this,
110700	115100	no doubt about it, the death which you are running away from.
115100	117500	How can somebody run away from death?
117500	119000	They're not running away from death.
119000	121800	They're running away from the conversation about death.
121800	124100	They're running away from the preparation of death.
124100	127900	They're running away from facing the fact of death.
127900	129900	They're running away from that.
129900	132400	Allah says, you can run from that all you want.
132500	134600	Fa innahu mulaqikum.
134600	137800	Then no doubt about it, it is going to meet you.
137800	139200	Arabic students will notice here,
139200	142500	mulaqikum is a mulaaf and mulaafi lay.
142500	144500	Laqa yulaqi l-qa'an wa mulaqatan,
144500	145900	fa hua mulaqin.
145900	149400	This is an ism fa'il from laqa, which means to meet.
