start	end	text
0	3000	What's the ultimate dhikr according to the Quran?
3000	5000	The Quran.
5000	6000	The Quran.
6000	7000	But when he says,
7000	10000	Dhikrullah, the remembrance of Allah,
10000	13000	Allah is not talking about the sounds of the Quran.
13000	17000	Allah is talking about the message of the Quran that impacts the heart.
17000	22000	So our connection, the more intimate we become in our connection with the Quran,
22000	25000	our recitation is going to become more spiritual.
30000	32000	Fa'sa'au ila dhikrullah.
32000	35000	Actually also, I didn't mention Salat.
35000	38000	If I knew the al-salat, so let me come back to this.
38000	40000	I'll show you something about Salat first.
40000	42000	The word Salat, which we translate as prayer,
42000	45000	is actually an istilah.
45000	48000	Istilah in Arabic means to warm your hands on a fire.
48000	49000	Okay?
49000	52000	Or to borrow a fire from an exit,
52000	56000	like there's a barbecue fire and you can take your torch and you can light up your fire.
56000	58000	La'allakum tas-taloon.
58000	61000	The word Salat is used when his family was freezing in the desert cold
61000	63000	and he said, I'm going to go up to that fire
63000	66000	and I'm going to see if I can find some directions
66000	70000	and hopefully I can get a little bit of the fire so you can get some warmth.
70000	72000	La'allakum tas-taloon.
72000	74000	Same word from Salat.
74000	78000	It's used also for people being thrown into the fire of hell.
78000	80000	Tasliya tujahim.
80000	81000	Tasliya.
81000	83000	Oh, inna humda salu al-naar.
83000	85000	Salu from the same word.
85000	86000	Salayasli.
86000	88000	And from it we get the word prayer.
88000	91000	What does prayer have to do with heating and fire?
91000	96000	Actually the idea is when you put something in the fire or when you heat something it becomes soft.
96000	98000	Okay, the heat makes it soft.
98000	102000	It's a stick and you put it in the heat, it starts bending.
102000	103000	Right?
103000	107000	The idea of Salat, the spiritual meaning of Salat, one of its meanings is
107000	109000	that its intensity humbles you.
109000	111000	It softens you.
111000	113000	Like it softens your heart.
113000	114000	It softens your thoughts.
114000	115000	It softens your feelings.
115000	117000	Taqshairro binu julood al-ladinab.
117000	122000	Like those who believe their sins, summa talinu juloodu, their skins become soft.
122000	123000	Right?
123000	127000	So there's a detoxing happening.
127000	131000	And there's a melting of you happening when you're standing in the prayer.
131000	132000	It's incredible.
132000	138000	Then Hassan Hassan Jabal in his dictionary, he argues, this is a little bit technical but really cool.
138000	139000	So I'm sharing it with you.
139000	143000	The word Salah has to do with Saad, Lam and Ya.
143000	145000	And in Arabic there are vowels.
145000	147000	And if Wao and Ya are vowels.
147000	151000	So if you get rid of the vowels, then what consonants are left?
151000	152000	Saad and Lam.
152000	159000	So the theory in Arabic linguistics that if there's three letters and one of them is a vowel,
159000	163000	then you look at the two consonants, in this case Saad and Lam.
163000	168000	And any word that shares those two letters is related to that word.
169000	172000	So you take the common denominator which is Saad and Lam.
172000	177000	And the other vowel would be if you put a Wao in the beginning, Wa-Sala, which is another word in Arabic.
177000	180000	Which is similar to Salah because it has Saad and Lam in it.
180000	182000	One has a vowel at the end.
182000	184000	The other has a vowel in the beginning.
184000	186000	It's like studying algebra.
186000	187000	Honestly, it's really cool.
187000	193000	But anyway, so this word Wa-Sala, which is a Mitha'il, Mitha'il Wa-Wi, means to connect.
194000	198000	And so Salah also means to join, to connect.
198000	201000	You know, like Wa-Yakta'oona Ma'amara Allah Bihi Ayyusala.
201000	204000	They cut what Allah has commanded to keep joined.
204000	207000	When we're called to Salah, we firstly connect to Allah.
207000	212000	And by extension, in a very secondary way, we actually also connect to each other.
212000	213000	Allah says,
213000	225000	What's a physical demonstration of everybody holding on to the rope of Allah together and not being divided?
225000	227000	Friday prayer.
227000	229000	Friday prayer, everybody's together.
229000	230000	They're not divided.
230000	232000	And they're all holding on to the rope of Allah.
232000	234000	So there's this idea of connection.
234000	237000	So let me come back and just go through some of these other things.
237000	238000	Then,
238000	243000	The call is made that the Lam actually means for the purpose of.
243000	245000	The ultimate purpose is the prayer itself.
245000	248000	But we know that Jumu'ah is not just a prayer.
248000	249000	It's what else?
249000	251000	It's the khutbah.
251000	253000	It's the khutbah and the prayer.
253000	255000	And there's five prayers in a day.
255000	258000	Which prayer do we not pray on Friday?
258000	260000	We don't pray lot.
260000	262000	Lot is forakas.
262000	265000	But the Friday prayer is what?
265000	266000	Turaqas.
266000	268000	Our Fukhah looked at this and said,
268000	273000	The reason we don't pray the four rakah of Wur is that two of them become the equal of the khutbah.
273000	276000	And the other two are the prayers that we pray.
276000	279000	Which is why the khutbah becomes a part of the prayer.
279000	280000	Okay?
280000	285000	So we're compensating two rakahs of Wur with actually the khutbah.
285000	286000	Okay?
286000	290000	Which is why you should take every precaution you can to come to the Friday prayer early.
290000	292000	You should also take every precaution you can.
292000	294000	It's not just any speech.
294000	296000	It's a part of the salah in that sense.
296000	300000	So you shouldn't be talking or, you know, distracted.
300000	302000	Just like you wouldn't do that in the prayer.
302000	304000	You wouldn't in the middle of your prayer be like,
304000	306000	Allah.
306000	308000	Well, let me respond.
308000	310000	Okay, I'm about to go to Rukul.
310000	312000	I've got to go talk later.
312000	313000	Allah.
313000	316000	Wouldn't do that and you shouldn't do that also in what?
316000	318000	In the khutbah.
318000	319000	In the khutbah.
319000	321000	And even from an early age, our children should be taught.
321000	322000	Khutbah is not a...
322000	324000	Any other speech.
324000	327000	Any other speeches going on, people are talking to each other.
327000	328000	No problem.
328000	330000	But this, you shouldn't be.
330000	334000	Now, I'll share with you my own, again, might sound controversial to you,
334000	336000	but I'm going to share my position on this with you.
336000	338000	There was a...
338000	344000	Because this was assumed that the two rakahs of Wur are now equivalent of the khutbah,
344000	347000	which is then making it the khutbah sacred.
347000	349000	The khutbah has now become sacred.
349000	354000	Now that it's become sacred, it should be in Arabic.
354000	359000	So, Fatwa came that the khutbah itself should be in the Arabic language,
359000	361000	otherwise it's not really considered a khutbah.
361000	362000	Okay?
362000	367000	The problem I have with that view is that, one, the Prophet, sallallahu alaihi wa sallam,
367000	371000	spoke in Arabic because he was speaking to an Arab audience.
371000	372000	It's number one.
372000	375000	The opening praises of the Prophet's Masnu and Khutbah,
375000	379000	or the fact that we praise Allah and send salawat on the Prophet's life to them.
379000	380000	Sure, do that in Arabic.
380000	383000	That's a great sunnah of the Prophet, sallallahu alaihi wa sallam.
383000	389000	But if somebody who's Arab or speaks Arabic starts talking about, you know,
389000	394000	how we should help our young men and women become more independent
394000	399000	and become financially responsible so they can get married early.
399000	403000	But he says all of that in Arabic to a Turkish community.
403000	406000	And he says all of that in Arabic to a Bangladeshi community.
406000	409000	Did any of them hear anything about the ayat of Allah?
409000	410000	They didn't.
410000	415000	That's actually what I'm shared with you is inspired by the ayat of the Quran.
415000	420000	The Quran talks about these issues, you know, that it talks about financial independence
420000	423000	and how you have to become related to marriage.
423000	426000	So, this is an important issue that the community needs to hear,
426000	429000	but now they can't hear because it's only being said in Arabic.
429000	434000	And the problem with that is Allah never said the Arabic language is sacred.
434000	439000	The sacred words in the Arabic language are sacred.
439000	442000	Quran is sacred, not Arabic.
442000	443000	When I say,
443000	444000	When I say,
444000	445000	When I say,
445000	446000	That's not more Islamic.
446000	447000	I was like,
447000	448000	How's it going, bro?
448000	453000	That's just this is equal, you know what, it was a funny story in a country
453000	454000	where they don't speak Arabic,
454000	457000	but Arabic is supposed to be like really the Islamic language.
457000	461800	They had a problem in that Muslim country where people, they just go by a wall, because
461800	463480	there's no public bathrooms, right?
463480	465560	So people go by a wall and they just pee.
465560	467800	It was just disgusting.
467800	471920	And they put giant signs, please don't urinate here, please don't pee here, etc.
471920	472920	And nobody listens.
472920	474940	It was just disgusting, right?
474940	477380	So somebody came up with a genius idea.
477380	480240	They put it in calligraphy Arabic.
480240	481240	Do not pee.
481880	484040	That the problem stopped.
487640	491760	Because the minds of people Arabic itself is sacred.
492160	493160	So.
497240	501920	Yeah, so I do believe the most known part of the Khudba, the Hamdut of Allah's
501920	503720	Panawata and the Salawat of the Prophet's life.
503720	506080	And I think we should preserve that some of the Prophet's life.
506080	510160	And but the message of the Khudba actually should be in the language of the people.
511160	516800	And that's why it was separated from the prayer itself.
516800	520160	So it's supposed to be a message for the people.
520160	521160	So anyway, that's it.
521160	525480	If I do the other Salat, I mean, you know, now, many of the
525480	528800	next piece, a part of the day of Friday.
528800	532480	This is really important because the people that came before us, the Israelites who were
532480	537160	given the Torah, they were not told to pray a part of the sacred day.
537160	541760	And for them, the sacred day was called Asabt, Asabt the Sabbath.
541760	547800	And actually they were told to pray the entire day and leave all business the entire day.
547800	551120	I'm going to go into detail about that later on, but I'll tell you one thing now.
551120	558000	And that is Allah has taken what used to be part of the Sharia of Musa A.S.
558000	561840	And he reduced it and he made it lighter.
561840	565240	Now there are other things in the Sharia of Musa A.S.
565240	567080	That Allah made lighter also.
567080	572240	Like the things they added on, like for example, I told you they considered the camel impure,
572240	574120	right?
574120	576240	And Allah clarifies that no, it's not impure.
576240	578440	You can eat that in the Quran.
578440	581680	There's an Isha'arayd Surat Al-Imran.
581680	584560	Similarly they used to have days in which they would fast.
584560	590240	Allah made those days optional, but he made the fasting of Ramadan mandatory.
590240	594680	On this note, you should note a few things about our prayers and theirs.
