start	end	text
0	3360	Right? So when the Quran uses this word, what I want you to know is,
3360	7760	it's taking a word and talking about it that the average Muslim Arab can understand.
7760	12560	But even the highest priests of this religion, or these religions, Christianity, Judaism,
12560	15680	that have been studying the religion for decades and decades,
15680	19520	that know the special nature of these words are like, how did he get this word?
20320	24320	And how did he use it in this way? Where's this coming from? Where's this knowledge?
24320	25760	Who's leaking our information?
30960	34400	Assalamu alaikum. Before you begin this video, just quickly wanted to let you know that
35040	38640	so much of the work on the Quran has been completed on Bayna TV. I want you to enjoy
38640	42080	systematically studying the Quran from the beginning all the way to the end,
42080	47120	in brief and then in great detail. And to do that, I'd like for you to sign up on bayanatv.com.
47120	51360	And once you appreciate what's going on in Bayna TV, I want you to become an ambassador for it
51360	55040	and share that subscription with friends and family, and give it as a gift also. Thank you.
90000	104480	We're going to have you back today. Inshallah, we're going to try to finish
104480	108640	some of the work on ayah number one and we'll get started on ayah number two. I'm pretty confident
108640	114160	we will not finish ayah number two today, but that's okay. These first two ayat are the heaviest
114160	119040	ayat of the Surah. So it's okay if we take our time there and we still have a few days to catch up
119040	123840	with the rest of the work. Anyway, so yesterday I did speak to you about the king and some of the
123840	129120	contemplations that we can make through the concept of kingdom and how a kingdom is known by its
129120	133760	markings, its signs. When you walk into a kingdom, you see a palace, you see the soldiers wearing a
133760	140880	certain kind of armor, you see the uniforms of its governmental employees, you see the flags of a
140880	145280	kingdom, you see the ships and the navy and all of that stuff of a kingdom, you see the assets of
145280	150640	a kingdom, the roads they've built, the infrastructure they've done, how they take care of their people,
150640	155680	how they engage in war, their history, all of these things are markings of a king, the identifying
155680	161040	markers of a kingdom and we contemplate that when we think about Allah Azza wa Jalla. Yesterday,
161040	167920	before I ended the lecture, I tried to tell you the connection between kingdom and power and holiness
168560	174000	and how in politics, religion and politics have always had this, I mean the right word to say,
174000	178720	they've always had an unholy marriage, right? They've had an unholy connection between them
178720	185200	and so even today, politicians use the religious class in many countries to gain their votes.
185760	190800	So in American politics, for example, if on a conservative party or something, a politician
190800	196400	wants to gain their base, they will go into a church and kiss some babies before the election,
196400	199680	you know, and make sure they take their pictures and talk about God and all of that, even though
200240	204480	they're the most anti-bible people in their lifestyle, but they will still
204480	209040	tout the Bible when they're trying to get their votes, right? So religion and politics have always
209040	214880	had this kind of a relationship. This has happened among the Israelites also. I've talked about this
214880	220480	in some detail, if you want to know more about that concept, there's actually a story in the Qur'an
220480	227360	that details this unholy alliance and how the Qur'an comments on it in such a sophisticated way,
227440	233360	it could be a PhD in political science. And that's the story of Talut and Jalut in Sulat Al-Baqarah,
233360	239600	where Allah talks about religion and politics together and how people try to manipulate religion
239600	246000	to serve political goals, right? So religion just becomes a tool in political agendas. I've had some
246000	254000	personal experiences with this too. I was in a country that shall not be named and I was giving
254000	258960	lectures at the university. I was giving talks at the Masjid and all that kind of stuff. All of a
258960	265360	sudden I get a call from the prime minister's office. They hit that he'd like to meet me. I'm
265360	271040	like, why does he want to meet me? And what are you going to talk about? And usually you think, oh,
271040	275920	my God, the prime minister wants to meet you. I was like, no, I know what this is. Let me just check.
275920	281520	And I had to check whether or not he's doing well in the elections, because when they're
282080	285280	because when they're politically going down, then they want to take a picture, they want to take
285280	291040	a selfie next to somebody who think will get them, make them feel a little more normal,
291760	297520	right? And they'll do these kinds of things. So, you know, these things are a reality in the world.
297520	301520	And we have to be mindful of that. And that's something Allah alludes to in Malik Al-Quddus.
301520	306160	But now let's get right to the work. The word Al-Quddus, the second name of Allah mentioned
306160	314000	in this ayah. Let's dig into the origin of this word. Quddus, the root theme, meaning the word,
314000	319200	the three letters, Qafdah, Dada, and Sin, originally have to do with purity and holiness and sanctity.
319200	325040	Quddasa means to purify. I'll show you that in the ayah of Surat Al-Baqarah. It's one of the earliest
325040	330320	words we learn about in the Quran. The angels, when Allah told them that he's going to put human
330320	332320	beings on the earth, they said,
335600	340400	So, they use this word to describe how they are with Allah. So, we'll get to that ayah in a second
340400	346720	to help us understand this word a little better. But its origin comes from this imagery of water
346720	352160	that can get muddy easily. And the Arabs, they would have like a trough, like a mini well kind
352160	356400	of thing, like the picture you see here. That's a water trough. And they would put stones in it
356480	361200	so it doesn't get dirty, so it doesn't get muddy underneath. And this was an old way of keeping
361200	364560	water pure but filling it up with stones. Okay? So,
368640	373600	So, it doesn't get, you know, the water doesn't get contaminated easily. Al Qadis is again,
373600	378400	it's also used because the camels have to put their head down to drink, but sometimes the water
378400	384080	level was too low. So, they would put stones in the water, so the water would rise and then the camels
384080	388560	can reach it and they can drink more comfortably. Right? That kind of stone was called Al Qadis.
389280	396080	Al Qadis is, you guys know, because back in the day, in ancient times, people didn't have like sinks
396080	399840	where they turn on the water and wash their hands. How did people wash their hands or wash
399840	405200	their face? They would have these bowls that you put fresh water in from the bucket and then you
405200	409920	wash your hands in that. Right? And even in some traditional families, if you go in the Middle
409920	414880	East and Asia, some other places, you sit and eat on the floor and before you eat on the floor,
414880	419760	they give you a bowl to wash your hands in and everybody washes their hands and dries over that.
419760	425040	Right? So, the sink, you don't go to the sink, the sink comes to you. Right? And that washing bowl,
425040	429680	that's actually called the Qadis in Old Arabic. The word for that is Al Qadis. So, there are other
429680	434960	vessels and buckets in Arabic that are not for washing but the one used specifically for washing,
434960	442800	that one is called Al Qadis. Okay. Now, there's Qadis, which is a sacred stone or a precious
442800	447920	stone. So, it could be like a ruby or a pearl or something like that can be called a Qadis.
447920	453600	Or sometimes people had, you know, like in different religions, they have trinkets that are sacred
454320	461840	or holy. Right? That they ascribe a lot of value to. Right? So, for example, in some Christian
461840	468640	variations, people have like crucifixes. Right? Or they have amulets and the stones or whatever.
468640	474800	Or in some other traditions, somebody can have a stone or a necklace and some, you know, saint or
474800	480000	guru or whatever cast a spell on the stone and now the stone has special powers and you will never
480000	485280	have diarrhea so long as you wear this stone, etc. So, that kind of stone is called a Qadis
485360	491920	in language, a sacred stone. Right? Similarly, jewelry was called Qudas, silver beads or trinkets.
492960	498240	Interestingly, from there, we also get the idea that the Ka'ba, one of the words, one of the names
498240	504880	for the Ka'ba before Islam was Al Qadis because it's sacred and therefore all of its stones are also
504880	511200	what? Sacred. Right? So, that's why it was called Qadis and Quran uses the word Muqaddas to describe
511280	517840	Jerusalem, Al Arda Al Muqaddasa. So, it uses the same term for, so it's the name of Allah, Qudus,
517840	524640	but now it's being used for other than Allah. It's being used for a land. Right? And at Takdis,
524640	528160	now this is what the, let's come to what the angels said to Allah.
531840	536400	Nukadisulak actually means two things. I've written them here. One of the things it means is we
536480	543680	purify ourselves for you. We purify ourselves for you. We keep ourselves pure for your worship.
543680	549280	That's what the angels said to Allah. The other meaning is we keep declaring how pure and perfect
549280	557200	you are. So, Takdis means two things. That's one implication. We purify ourselves for you.
