start	end	text
0	5360	So there's a young lady sitting here who's struggling with the hijab and we say,
5360	10240	you know, these some sisters man, they don't even, let's talk for a while.
10240	13600	Bro, you don't get up for fudger every morning, which was revealed much sooner.
13600	18000	What I'm trying to tell you is, Allah didn't just give us a set of rules.
18000	21600	The Quran is not a book of rules, it's a book of transformation.
21600	24000	And transformation takes time.
24000	28000	That's why the transformation of the companions was compared to the growing of a tree.
30000	34000	Peace be upon you.
34000	40000	Before you begin this video, just quickly wanted to let you know that so much of the work on the Quran has been completed on Bayna TV.
40000	46000	I want you to enjoy systematically studying the Quran from the beginning all the way to the end in brief and then in great detail.
46000	50000	And to do that, I'd like for you to sign up on bayanatv.com.
50000	58000	And once you appreciate what's going on in Bayna TV, I want you to become an ambassador for it and share that subscription with friends and family and give it as a gift also. Thank you.
58000	62000	Bismillah wa sallam wa sallam, wa a'la rasulillah wa a'la alihi wa sahbihi ajba'een.
62000	73000	An important question that was asked that I didn't get to address is when you start studying the Quran, even for example when you're learning the Quran with me or you're listening to the Quran from somebody else or anything.
73000	77000	That is actually essentially an intellectual exercise.
77000	82000	Even if it's cleaning up your thought process, it's an intellectual cleansing.
82000	84000	But what about spiritual cleansing?
84000	87000	What about the heart feeling more connected to Allah?
87000	89000	That's a separate thing.
89000	98000	You might not feel spiritually more connected just because you're listening to a bunch of lectures or learning a bunch of stuff and studying a bunch of stuff.
98000	102000	Those are two separate things and they're equally important actually.
102000	106000	The spiritual cleansing is as important as the intellectual cleansing.
106000	108000	So what about the spiritual cleansing?
108000	118000	In my view, the Quran has described the first level of spiritual and the most powerful level of spiritual cleansing is mindful recitation of the Quran.
118000	129000	Not study of Tafsid and Tadabur, which is a separate thing, but a mindful recitation of the Quran is actually itself something that brings the heart calmness.
130000	134000	If you recite the verse,
134000	138000	when the ayatah recited onto them, it increases them in iman.
138000	141000	They feel something in their heart when they recite.
141000	144000	And you know, I could study the Quran all I want.
144000	152000	I tell you, even if I'm studying, like for example, I'm spending a lot of time studying surat al-Jumu'a nowadays with you guys, which is a different experience.
152000	157000	But when I just, at the end of the night, I just sit there and I just recite the surat.
157000	159000	Just recite it.
159000	167000	It's a different experience because the study and the note taking and the PowerPoint slides and all that stuff, that's up here.
167000	173000	Or you're just sitting and reciting to God and you're just standing in prayer and you're reciting to Allah.
173000	176000	That's not here. Where is that?
176000	180000	That's here. And you do it. Maybe you do that and you don't feel anything.
180000	182000	Maybe you recite and you don't feel anything.
182000	191000	But you know what? You keep reciting and you keep reciting and you keep reciting because the recitation is like it's drilling through the layers of your heart and heart.
191000	193000	And eventually it'll break through.
193000	196000	You will feel something, but you got to stay at it.
196000	198000	You have to say,
198000	202000	It could be that you don't feel something and that's okay.
202000	203000	That doesn't mean it's useless.
203000	206000	That means you just have more work to do, insha'Allah.
206000	211000	But recitation and even listening to recitation is actually a spiritual exercise.
211000	215000	And the bunch of people become mindful of the ayat and you listen to them.
215000	217000	It's a very powerful exercise.
217000	223000	There are surahs that I've studied for years and years and years and then I hear somebody recite them and it feels like I'm hearing it for the first time.
223000	226000	And it's so moving for me to just hear those words.
226000	229000	And that's the power that Allah's words has.
229000	233000	So that dhikr is actually something Allah has mentioned many places in the Quran.
233000	237000	And just think the words that you're reciting, when you're reciting Quran,
237000	244000	the words that are coming out of your mouth are words that were sent from above the seven heavens.
244000	253000	And there was a time when these words were being delivered by Jibril to Rasulullah, sallallahu alayhi wa sallam, alayhi wa sallam.
253000	261000	And now you get to say from your mouth the same words that were coming out of the mouth of the Prophet himself, sallallahu alayhi wa sallam.
261000	267000	So it's the word of Allah, it's the word of Jibril and it's the word of even Rasulullah, sallallahu alayhi wa sallam, by extension.
267000	269000	That's coming out of your mouth now.
269000	275000	It's a very profound spiritual thing that we're doing when we're reciting the word of Allah verbatim.
275000	281000	Okay, so understanding the connection between al-kitab and al-hitbah.
281000	283000	I'll talk to you a little bit about the word al-kitab.
283000	285000	Kitab is used in the Quran in many ways.
285000	287000	The word kitab is used in many ways.
287000	290000	So the phrase means he teaches them the book.
290000	292000	Literally it says it teaches them the book.
292000	294000	But what does the book mean?
294000	300000	Any decree of Allah, like Allah decreed it should reign, or Allah decreed somebody should die.
300000	302000	This is also Allah's Kitab.
302000	305000	Everything that Allah has ever decreed is in a Kitab also.
305000	309000	Fi Kitab-i Makhnoon, or Fi Kitab, right?
309000	312000	So this is one part of the meaning of Kitab.
312000	315000	But there are other meanings of Kitab.
315000	320000	Kitab also means any particular command of Allah to His slaves.
320000	321000	Okay?
321000	323000	Or any rule that Allah established.
323000	326000	I've written Allah, Allah, and the messenger.
326000	329000	Allah has declared that my messengers will win, always.
329000	331000	I and my messengers will always win.
331000	335000	Now, Kitab, the meaning of Kitab that's relevant here,
335000	337000	because you know the first part said,
337000	340000	yatlu alayhim ayaatihi, which is he recites the ayat,
340000	342000	which is clearly the Quran, right?
342000	344000	Yatlu alayhim ayaatihi is the Quran.
344000	347000	And by way of the Quran, he is purifying them.
347000	349000	So that's also kind of a reference to the Quran,
349000	352000	along with the company of the Prophet, Sallallahu Alaihi Wasallam.
352000	355000	Then he teaches them the book, and of course, which book?
355000	356000	The Quran.
356000	359000	So why is it saying three different things for the same book?
359000	362000	It's because we have different relationships with the book.
362000	364000	We need to get exposed to the book,
