start	end	text
0	3900	Allah is so powerful he doesn't have to become visible in how he exerts his power
4200	7540	Lotiful limayasha, he's subtle in how he does things
8040	12680	Delicate in how he does things nearly unnoticed in how he does things
13220	17520	You know and some things is very obvious and some things is very delicate and invisible
17520	21280	And that's actually one of the great manifestations of the might of Allah
21280	28560	As-Salaamu Alaykum Wa Rahmatullah Wa Barakatuh
28560	32760	Bismillah wa Salatu wa Salamu Ala Rasulullah Wa Ala Aali wa Sahbihi Al-Juma'in
32760	35000	Ma ba'at fa a'oudu billahi bin al-Shaytan al-Rajim
35000	36500	Bismillahir Rahmanir Rahim
36500	42160	Yusabbihu Lillahi Ma fis Samawati Wa Ma fis Al-Ardil Maliki Al-Quddus Al-Aziz Al-Hakeem
42160	45160	Rabi Al-Shahli al-Sadri wa Yassili Amri
45160	47640	Wa Halu Al-Aukta Tam Billi Saniyya Fqahu Qawli
47640	49140	Amin Ya Rabbi Al-Alamin
49220	52180	Once again everyone, As-Salaamu Alaykum Wa Rahmatullah Wa Rahmatullah Wa Rahmatullah
52900	56780	We're gonna start talking about the name Al-Malik of Allah
56780	60220	So Allah is uniquely described himself in this Surah
60220	64580	On the opening ayah with four names Al-Malik Al-Quddus Al-Aziz Al-Hakeem
64580	67820	Many places in the Quran Allah mentions two of his names together
67820	70940	Like Al-Aziz Al-Hakeem, Ghafurun Rahim, things like that, right?
70940	75340	So this Surah is unique because the opening has four names together
75380	79300	So that is a special feature of this Surah
79300	81300	So the first of those names is Al-Malik
81300	85420	It's used rarely in the Quran, it's not as common as you might think
85420	89100	But let's talk about a little bit of where the word Malik comes from
89100	92820	So the word Malik, or the verb Malika
92820	94780	Actually has to do with making something hard
94780	98140	Like you know when you make the dough and the bread
98140	99740	And the dough becomes tougher
99740	102140	That's actually Tamlik of the bread
103100	107220	From it also comes the idea of the Milak
107220	109940	Something is the foundation of a building
109940	112140	Or something that you build on top of
112140	114340	Madakut Tariq is the middle of the road
114340	116860	Meaning the most firm part of the road
116860	120660	Qawaimukulli Dabbatin Mulukuhu
120660	125100	The feet of an animal that it stands firm on
125100	127060	They're also called the Muluk of it
127060	130260	Meaning all of it has to do with firmness, toughness, stability
130380	132460	That sort of thing, these are the meanings in it
132460	134940	When you have control over something
134940	136780	That's called Malika Anshayt
136780	139620	Or you know command over something is a Malika
139620	144060	Malika Nafsahu to have control over yourself is Mulkuh Nafs
144060	145860	If you're able to control your emotions
145860	147860	Or if you're able to control your behavior
147860	151460	So these are the word keeps having to do with Kingdom
151460	154980	Or actually control and power and stability
154980	159100	These are the recurring themes inside of the word Mulk
159220	162940	Then comes the idea of when you hold something firm in your hand
162940	164980	Then you have Mulkuhu over it
164980	168020	So it's something firmly or grasping something firmly
168020	175780	So it's actually interestingly also used when a man is very possessive over his wife
175780	177660	Then they actually say Malika Al-Mar'a
177660	179180	It doesn't mean he owned the woman
179180	181380	It actually means he's very possessive over her
181380	184420	Or very dominating or controlling over her, etc
184420	187140	Now, how is this used for Allah in the Quran?
187180	191900	First of all in the Fatiha we have two readings Malik-e-Omiddin and Malik-e-Omiddin
191900	194540	So Malik and Malik are two different words
194540	196900	So let me help you understand them in easy language
196900	198740	Malik means owner
198740	201180	So I'm the Malik of this laptop
201180	203380	The Malik of this laptop
203380	206580	But I'm definitely not the Malik of this laptop
206580	208940	That would be a little bit dramatic of me
208940	210740	Because I am the owner of this laptop
210740	214780	But I'm definitely not the sovereign king ruler of this laptop
214780	219140	Okay, so you can own a car, you can own a pen, you can own a shirt
219140	222260	But you can't declare yourself the sovereign king of your t-shirt
222260	223580	It doesn't make sense
223580	228660	So the idea of kingdom is vast
228660	231980	The word Malik is used for vast territory
231980	234060	That you can be the king of an island
234060	237420	You can be the king of a country, king of an empire, etc
237420	238180	Right?
238180	240180	In America we use the king very little
240180	242340	This is the king of pizza
242380	244780	And this is the king of tires
244780	248100	Come to the Tire King for your special discount, etc
248100	249620	So they use these words king uselessly
249620	254380	But the idea of kingdom is actually a vast empire of some sense
254380	259140	Interestingly, a phrase in the Qur'an combines both of these concepts
259140	261300	Malik-e-Mulk
261300	264060	Qulillahumma, Malik-e-Mulk
264060	264420	Right?
264420	266340	Which is two different concepts
266340	269980	It actually means the owner of kingdom
269980	274260	So the word for ownership is milk
274260	276700	So it would be Malik-e-Mulk
276700	279220	Or Malik-e-Mulk
