start	end	text
0	9000	We're just just imagine for a moment every time you enter a surah, you're entering into one of Allah's palaces.
9000	15000	This surah from Allah is a gift sent from above the seven heavens to humanity
15000	20000	and you're entering something that the world did not have access to it.
20000	26000	This came from way way above and it came as a gift to humanity.
27000	32000	We'll take a deep look at Surat Al-Jumu'ah as deep as I can do at least
32000	37000	and there's still endless oceans left after whatever I'm able to do.
37000	41000	But whatever I try to do, I will try to simplify as much as possible.
41000	46000	That's how humanity was sent down. There's a mindset that's taught in the Zayat.
46000	51000	You know the Quran is not just information, it's a mindset. What is priority?
51000	57000	So what Allah says, whatever is in the skies and whatever is in the earth
57000	62000	declares the perfection of Allah. Is there a special stress on the earth?
62000	67000	You understand. So you'll find in most of these surahs wherever Tasbih has mentioned
67000	70000	there's a special stress on the earth.
70000	74000	And what's really cool is Allah will mention that special stress on the earth
74000	76000	and immediately in the next ayah
76000	79000	Surat Al-Jumu'ah
80000	82000	Peace be upon you.
84000	86000	Alhamdulillah, Lord of the worlds.
86000	90000	Peace be upon the Sadaqah, the messengers, his family and companions.
90000	93000	We've been waiting for him to come to Yuma-ddin.
93000	96000	Allah has made us from them, from those who believe and do righteous deeds
96000	100000	and are in the right path and are patient and secure, Lord of the worlds.
101000	107000	I'd like to first express to you how excited I am and how happy I am to see so many of you
107000	112000	and I know that many of you have driven long distances to come and attend this program.
112000	118000	Insha'Allah Ta'ala, I pray to Allah that he counts all of this as ibadah for him
118000	122000	and that he includes us among that hadith that was mentioned by the Imam.
122000	124000	Khayru kumman ta'alam al-Qur'anah wa'alamahu.
124000	128000	The best of you are the ones who learn the Quran and then teach it.
128000	134000	So what I'm going to start with is an introduction just so you all have an idea
134000	138000	how these lectures are going to go, how these discussions are going to go
138000	140000	and what the plan is for them.
140000	146000	For this entire week, if those of you that are committed to coming the entire week with me,
146000	149000	we're going to be studying Surah al-Jumu'at.
149000	154000	So we're going to be just doing one Surah of the Quran and it's only 11 ayat.
154000	156000	It's not long at all.
156000	162000	So it's only 11 ayat, but it's going to take us a whole week to study that Surah.
162000	165000	Somebody asked me on the way here, actually a volunteer asked me on the way here,
165000	170000	are you going to be like very high level or are you going to talk to the rest of us?
170000	173000	So I need to address that question.
173000	179000	My job is to try to study the Quran as deeply as I can
179000	183000	and address some of the hardest questions I can address.
183000	188000	In my own investigation with my team, with other researchers and scholars.
188000	191000	And then that's the easy part of my job.
191000	195000	The hard part of my job is to learn all of whatever I can learn
195000	199000	and then to simplify it so that human beings can understand it.
199000	204000	Because scholars and students, they speak some kind of alien language
204000	206000	that the rest of us don't understand.
206000	211000	So I need to make sure that I explain things to you in a way
211000	214000	that makes sense to you, that you can grasp.
214000	217000	Some concepts are difficult, they're more complicated,
217000	220000	but I'm going to do my best to keep things as simple as possible.
220000	222000	So there's two different things.
222000	226000	One, you want to talk about complicated things,
226000	230000	but two, you want to talk about them in simple language.
230000	232000	And you have to have that balance.
232000	235000	Because sometimes people just talk about simple things,
235000	238000	that's not healthy because life is complicated.
238000	241000	There are some complicated things we need to talk about.
241000	243000	And then what happens is when people know,
243000	247000	people have more knowledge than they start using more complicated language
247000	250000	to talk about that, you know, university professor language,
250000	252000	and then nobody understands.
252000	256000	And then those discussions remain in certain circles in the society
256000	258000	and everybody else doesn't get it.
258000	262000	And this is actually the problem that I felt myself
262000	264000	and I feel that pain for you.
264000	267000	So what I try to do in Sha'Allah and these lectures is yes,
267000	270000	we will take a deep look at Surat al-Jumu'ah,
270000	272000	as deep as I can do at least.
272000	277000	And there's still endless oceans left after whatever I'm able to do.
277000	281000	But whatever I try to do, I will try to simplify as much as possible.
281000	287000	Now, having said that, I'm going to speak to you for about 40 minutes,
287000	289000	45 minutes at a time.
289000	293000	The moment I see some of you traveling into the spiritual world,
293000	298000	some of you do this in very creative ways.
298000	302000	Some of you look like you're just really concentrating on the material,
302000	307000	like, you know, other people fight it.
307000	309000	They fight it by agreeing with me a lot.
309000	311000	Like even if I'm not saying anything, they're like,
311000	316000	like slowly declining.
316000	318000	I've seen the brothers do this a lot,
318000	320000	like they'll be sitting in the masjid floor,
320000	322000	they're sitting, for instance, sitting like this,
322000	325000	and they're sitting like this, and they're sitting like this.
325000	330000	And eventually, you know.
330000	334000	So, but 40 minutes at a time, then I'm going to give you guys a break.
334000	336000	I know there's lots of sisters, lots of brothers here.
336000	338000	So what I'm going to try to do in those breaks,
338000	340000	the breaks will be five to seven minutes long.
340000	345000	I believe Maghrib is around 9.20, so we have about two hours before Maghrib.
345000	348000	Tomorrow onwards, I'll start exactly at seven o'clock,
348000	351000	because I want to make the most of the time we have.
351000	354000	So seven, maybe five to 10 minute break in those breaks,
354000	358000	you can come up to me or I can go in that middle area so I can hear from brothers and sisters.
358000	362000	We can have some conversations, take whatever questions.
362000	368000	The breaks are dedicated for questions and discussions and comments.
368000	371000	Those are the most valuable pictures can wait.
371000	373000	I'm here a whole week.
373000	377000	We'll figure out a system and we'll do all the pictures you need to do.
377000	379000	No problem. I have no problem with it.
379000	383000	But in the breaks, I'd rather just focus on conversations.
383000	387000	This is what I'm going to do, but now let me tell you what I expect from you.
387000	391000	This week, I want you to use your imagination.
391000	399000	If you walked into a historical palace, an ancient palace,
399000	403000	when you walk in, people walk in with their cameras,
403000	409000	and they're making video of every door and every decoration
409000	412000	and the ceiling and the windows and all that stuff, right?
412000	417000	Or the artwork on the wall or the calligraphy and things like that, right?
417000	421000	Tourists are just, wow, this is amazing, that kind of thing, right?
421000	427000	Because this represents the work of a great king of the past.
427000	432000	Just imagine for a moment, every time you enter a sura,
432000	436000	you're entering into one of Allah's palaces.
436000	442000	This sura from Allah is a gift sent from above the seven heavens to humanity.
442000	447000	You're entering something that the world did not have access to it.
447000	450000	This came from way, way above.
450000	452000	And it came as a gift to humanity.
452000	454000	Tanzilum merrabil alameen.
454000	459000	What happens in the Quran, if you've even read the Quran in translation,
459000	463000	you will know the Quran has a lot of repetition, right?
463000	466000	The Quran talks about judgment day, and then it talks again about judgment day,
466000	468000	and again about judgment day.
468000	471000	The Quran talks about one prophet, like Musa'a alayhi s-salam,
471000	475000	and it'll talk about him again and again and again and again, right?
475000	478000	So there are many subjects in the Quran that keep repeating.
478000	481000	And what happens to you and me is when we look at that and we say,
