start	end	text
0	6000	The power of a gathering, when people are gathered together and they're hearing ideas.
6000	12000	If they're hearing powerful ideas, if they're hearing powerful and there's no more,
12000	16000	the world does not have more powerful ideas than the Quran.
16000	19000	That's the word of God, that's the word of Allah Himself.
19000	25000	If they were hearing these ideas week after week after week after week,
25000	28000	you don't think those people become powerful?
31000	38000	So all three things now come together, the solution was given in one,
38000	42000	the problem was described in two, and the practical steps now.
42000	46000	What must you do? That's now coming in this section, this remarkable section.
46000	48000	So let's begin with ayah number nine.
48000	52000	Ya ayyuhal ladheena amanoo idhanoodiya dis-salat min yaumil jumaa
52000	57000	Those of you who believe, idhanoodiya dis-salat when the call is made for the prayer,
58000	63000	min yaumil jumaa as part of the day of Friday, min tab'idiyya.
63000	67000	So you can translate this on the day of Friday,
67000	72000	but you can also translate this as from part of the day of Friday.
72000	74000	Because we're not being asked to pray all Friday,
74000	78000	we're being asked to pray only a part of the Friday, so min tab'idiyya.
78000	82000	fas'awiladiklilahi then rush to the remembrance of Allah.
83000	86000	wazarul bay'a and leave the sale.
86000	93000	That all of you is better for you if in fact you truly know.
93000	95000	That's the ayah that we're going to discuss.
95000	98000	The first thing I want you to note here is ya ayyuhal ladheena amanoo.
98000	100000	Those of you who claim to believe.
100000	105000	This phrase you should remind, remember always when you leave this phrase in the Quran,
105000	108000	it actually includes three groups of people.
108000	111000	I started the series with this word, wrapping it up with this too.
111000	114000	Madina had three kinds of believers.
114000	117000	The strongest believers, the...
117000	120000	Okay, haven't been tested yet believers?
120000	126000	And then the hypocrites and the middle category is being pulled towards the hypocrites
126000	131000	and Allah is pulling them towards iman, but on the outside they all claim to believe.
131000	136000	So when Allah says ya ayyuhal ladheena amanoo, all of them are being addressed together.
136000	138000	All of them are being addressed together.
138000	140000	And he says,
140000	145000	When the call is made,
145000	149000	I'll stop there for a moment before we get to the prayer part.
149000	153000	The call being made is referring to the azan, right?
153000	154000	The azan.
154000	158000	The word azan is not used in the Quran in the meaning of the azan the way we use it.
158000	161000	Or did the muazzin give the azan?
161000	164000	Was the azan of Jumran salamate?
164000	166000	Or was the azan of Maghrib called?
166000	168000	We use the word azan for the prayer call.
168000	170000	The Quran doesn't use that term.
170000	173000	The Quran uses the word nida.
173000	178000	Culturally we kind of became accustomed to using the word azan.
178000	180000	And what's the difference between azan and nida?
180000	182000	So I want you to understand that.
182000	184000	Azan actually means announcement.
184000	187000	Azan means announcement.
187000	189000	Nida means a call.
189000	191000	Nida means a call.
191000	192000	Okay?
192000	194000	What's the difference between an announcement and a call?
194000	198000	If I make an announcement, I just want you to know something.
198000	202000	When I call, what am I doing?
202000	204000	I'm saying come here.
204000	206000	There's a demand.
206000	209000	An announcement just gives information.
