start	end	text
0	4640	But what do we do? We say, we use Islam to say, oh, parents have all the rights.
5680	12160	And children have? None of the rights. By the way, the only relationship where one has all the rights
12160	17520	and the other has no rights is Allah and the slave. Because Allah has all the rights and we are just
18240	22320	slaves of Allah. We don't have any rights against Allah. Everything Allah gives us is a favor from Him.
22480	33040	But then the Quran teaches you and teaches me how is that an ayah? How is the wind an ayah?
34000	39760	How is the sun an ayah? Without it, I could learn a lot about the sun in science class,
39760	45680	but I won't learn that it is what? It's an ayah. The Quran came and changed the world around me
45680	53120	and I started seeing ayat everywhere. And the more ayat I see in the world, it takes me back to what
53120	59440	he teaches me about those ayat. And the more I read the Quran, it makes me go back into the universe
59440	64880	and explore those ayat. So those ayat pulled me back towards these ayat and these ayat pushed me
64880	70640	back towards those ayat and they keep going between the ayat. So when the Prophet ﷺ is
70640	75200	reciting the ayat to them, he's changing their worldview. People now recognize that ayat are
75280	80320	all around them. So it's a very powerful phrase that's used as the opening statement of these four
80320	85600	steps. Now we're going to talk about the second step. We'll use that key here. Let me purify this.
87200	94960	The word Zaki comes from the letters Zakaaf and Waal. And it actually means either means an even
94960	104880	number, so a balance of numbers or two odd numbers together. When a land has no bugs and you can grow
104880	111520	really good plants on it, it's healthy soil, it's called Ardun Zakiya or Sabina, meaning it grows
111520	120160	really good fruits. Growth itself, like a child growing, is also called Zakaaf. So you know like
120160	128240	in Surat Al-Kahaf you have, did you kill a boy? Zakiya could mean pure, but it also means a growing
128240	134320	boy. Like he's not grown yet. He's still on his process of growing. So he's innocent, he's pure,
134320	141520	but he's also growing. So as Zakaaf, what we use in our Suriyah, like you have to pay Zakaaf every
141520	146880	year, right? So the Zakaaf means it purifies your money, but it actually also means it grows your money.
148320	152560	Right? Because when you give it, it puts more baraka in the rest of your money and that grows,
152560	157280	right? So and of course you're growing because whatever you spent, you've actually given to
157280	161920	your own self for the Akhira account. You just transfer from Dhuniya account to Akhira account.
161920	169040	So it's growth all around. Zakaaf is used as a verb, the verb Tasqiyah was used in Arabic
169040	175840	for two things. To fix something, like if you fixed your car, then you did Tasqiyah of your car
175840	181760	and also means to clean up something, to purify something. And oftentimes fixing something actually
181760	186880	requires the first step of it is what? Cleaning up. Like for example, if doctors are trying to fix
186880	192720	a cut or an injury, what's the first thing they do? They disinfect, right? They clean up all the mess
192720	199120	and then they fix. If somebody's trying to fix a beat up old car that's rusty, what's the first step?
199120	203600	They're going to clean up all the rust, get rid of that, then begin the fixing process, right?
203600	209840	So the same way Zakaaf actually means to fix, where the first step is actually cleansing or
209840	215120	purifying. Okay, now we get to the heart of the matter. The second step that is being described
215120	220800	is that he purifies them. He purifies them. And usually what we think of somebody being purified,
220800	225280	we think in the spiritual sense. But I want you to take the full picture. What does it mean
225280	231200	that the Prophet, Sallallahu Alaihi Wasallam, and the Qur'an is purifying them, right? The
231200	235840	messengers purifying these people. Firstly, yes, it is spiritually purifying them, meaning they
235840	243280	believed in multiple gods. They didn't realize the damage their sins do to their souls, their hearts.
243280	248640	They didn't realize that. So there is a spiritual cleansing. There's a spiritual purification
248640	253760	that's happening. By the way, when we see Tezquia or purification, you should also think of
253760	259200	nurturing and cleansing, because those meanings are growth, nurturing, and cleansing, all of them.
259200	264400	So you know what that means? People are being spiritually developed. They're not just becoming
264400	268960	pure overnight. They're being nurtured and developed, right? You're not there yet. You're
268960	273520	going to get there. Like for example, in some people, they have a really bad diet, and they
273520	277520	want to fix themselves. They want to get healthier. Then they go to a nutritionist or they go to a
277520	281440	fitness coach or something, and he says, okay, we're going to do a detox, or we're going to do
281440	284640	this program. And you're going to go on a keto diet, or you're going to go to this other kind of
284640	291680	adab diet or whatever they come up with, right? So what are they doing? Do you get cleansed overnight?
292560	296960	No. And is it sometimes you're in the process of cleansing and you're like, I see a donut. I
