start	end	text
0	7520	He escapes life bloodied and completely bloodied and muddled and he stands in a corner. He finds a place to pray and
8080	11760	At the time some jinns were passing by
12360	17760	So they started listening to the Quran when they finished listening they started commenting on what they just heard
18000	25160	So they start having this commentary on what they just heard and this commentary is recorded in the Quran
26240	28240	But the question is
31000	35720	Salamu alaikum before you begin this video just quickly wanted to let you know that
36080	39000	So much of the work on the Quran has been completed on bayna TV
39000	43160	I want you to enjoy systematically studying the Quran from the beginning all the way to the end in
43320	46000	Brief and then in great detail and to do that
46000	50720	I'd like for you to sign up on bayna TV calm and once you appreciate what's going on in bayna TV
50720	55880	I want you to become an ambassador for it and share that subscription with friends and family and give it as a gift also
55880	57880	Thank you
60000	62000	You
78960	79960	Are we sure you're going to be a
79960	81960	Siddly I'm ready to go to the next one
81960	82960	I'm going to be a
82960	83960	Siddly
83960	84960	I'm going to be a
84960	85960	Siddly
85960	86960	I'm going to be a
86960	87960	Siddly
87960	88960	I'm going to be a
88960	89960	Siddly
90000	92960	I think I'm going to go after fats
92960	93960	I'm going to be a
93960	117280	Siddly
117280	118880	I'm, I'm not going to theünde
118880	120760	That's all we're going to do.
120760	121760	Okay.
121760	123820	It's just that is that loaded.
123820	125520	I made a new plan with my team.
125520	130880	Hopefully we can finish ayahs number three to five tomorrow and then five to eight the
130880	132120	next day and so on.
132120	136720	We can get to number 11 because the other ayah don't require as much detail, but like I told
136720	139120	you, this is the central ayah of the surah.
139120	140520	And I really do want to do it justice.
140520	145680	In fact, even as I'm trying to do it some justice, I want to start by saying that there's an amazing
145680	152200	a PhD thesis on the last word of this four phrase, four term phrase al-hikma al-hikma
152200	153700	meaning wisdom.
153700	159720	Um, that Dr. Saki Hossein, one of our colleagues at the bayanah team, a research team, he,
159720	164800	he did a PhD paper on wisdom in the Quran because wisdom is one of the phrases used in this
164800	165800	ayah.
165800	170640	Um, and it's particular to this ayah and just over the entire Quran and in biblical studies
170640	174960	and in Christian studies and philosophy studies and how the Quran deals with the subject of
174960	177120	wisdom and what it calls wisdom.
177120	178840	So really amazing paper.
178840	181000	It's about 350 pages.
181000	182280	It's pretty amazing.
182280	187680	And um, I was going to include some of that in the lecture series here because wisdom
187680	191960	is coming up, but I decided not to do that because if I did that, the next seven days
191960	193680	would be just about wisdom.
193680	199640	So, but what I intend to do after this is done is actually go back to that paper, summarize
199640	205440	it because what I do is I read and research papers like those like PhD level papers, but
205440	211760	then I make them human so that the rest of us can understand what's being said, right?
211760	214360	So that's kind of what I try to do.
214360	218420	So my intention is in fact to do a series, probably end up doing a YouTube series on
218420	223440	wisdom in the Quran and how to understand wisdom in the Quran and what, what, what does the
223440	225240	Quran mean by wisdom?
225240	226960	Some of those things will come up today.
226960	231000	So the warning ahead of time, the disclaimer ahead of time is the discussion I'm having
231000	234120	today is not comprehensive enough yet.
234120	235720	It is to the best of my understanding.
235720	240120	Some of the things that I find the most compelling about the subject of wisdom that we will talk
240120	242520	about that today, but not in a comprehensive way.
242520	243520	So let's begin again.
243520	248600	I'm reminding you in IA number two, Allah tells us the Prophet does four things, sallallahu
248600	252560	alayhi wa sallam, that Allah sent his messenger with a four step process.
252560	256820	And we talked about the first step of that process, which was yetlu alayhim ayaatihi.
256820	262380	He reads onto them his miraculous signs, his meaning Allah signs, just a few takeaways
262380	265860	from that first step that I want to finish up from yesterday.
265860	270700	Number one, he brings unfiltered exposure to the revelation exactly as it is.
270700	274820	In other words, when he's reciting the ayaat, he's not saying, here's the ayaa, let me tell
274820	276100	you what this really means.
276100	277540	He's just telling you the ayaa.
277540	280940	The Prophet was reciting the ayaa without an interpretation.
280940	283220	He was just giving them the ayaat directly.
283220	288500	Surat al-Asr was revealed and Abu Lahab and Abu Jahal and whoever heard Surat al-Asr.
288500	292580	They didn't stop at al-Asr and say, hey, tell me about al-Asr, give me some details.
292580	293580	That's not what happened.
293580	295980	He gave it to them exactly as it is.
295980	301900	Now this is important because in many religious traditions, people don't get the original
301900	307580	message, they get the filtered message by some group.
307580	311220	If it's the Bible, maybe it's the Protestants that are interpreting it and telling it to
311220	313420	their people, the clergymen.
313420	316060	Or if it's the Catholics, they're telling their version.
316060	319180	Or if it's the rabbis, there's some group of rabbis that are interpreting and then telling
319180	320180	their people.
320180	321740	And others are telling their interpretation.
321740	326700	So everybody's giving their version of what it might mean against the other version.
326700	327820	You understand?
327820	331300	So people are getting a filtered version of the message.
331300	333180	But the yatlu alayhim ayaati, what does it do?
333180	336660	A direct exposure to the ayaat.
336660	337980	And what does that do?
337980	343180	What that does necessarily is, if you hear the ayaat, you'll say, what does that mean?
343180	344340	Tell me more about this.
344340	346020	I want to know more about this.
346020	347620	You'll become curious.
347620	353220	So it necessarily created curiosity about revelation by design.
353220	354220	By design.
354220	357180	Like if you hear something interesting, let me give you just, you know, because I come
357180	363420	from the world of business and marketing before, and tech before I got into Islamic stuff.
363420	370340	So like in marketing, you first get exposed to, you know, like an ad is supposed to be
370340	371340	compelling.
371340	372340	Right?
372340	374340	So you see an ad and it should make you curious.
374340	375340	Right?
375340	377140	Or what do they do with movies?
377140	378580	How did they get people to go watch a movie?
378580	380580	They show them a trailer, right?
380580	383380	In which they put the most interesting scenes of the entire movie.
383380	385860	So now you don't really need to watch the movie anymore.
385860	391060	But still, the point is they get you curious, which makes you want to ask questions.
391060	393220	I wonder what happens next.
393220	395340	Or I wonder how this will play out.
395340	396340	It makes you curious.
396340	400020	So yatlu alihimayati, the minimum unfiltered exposure.
400020	403740	Sometimes the unfiltered exposure does raise questions, creates curiosity.
403740	407580	And that is supposed to make people want to say, Hey, if make them interested and make
407580	409020	them want to learn more.
409020	410660	So that's the first thing.
410660	413060	Then it makes revelation accessible.
413060	417260	Like I said, in previous scriptures, previous religions and many religions around the world,
417260	424180	the scripture itself, the religious text itself is very, it's very encoded.
424180	428500	And you have to decipher it for the people to be able to access it.
428500	431940	And there has to be a special group of people that can decode it for you.
431940	433860	You cannot access it yourself.
433860	439020	But when he says he went to the Umayyin and he gave them the ayat directly, you see how
439020	443100	he's removing the encoding process.
443100	445220	Along this side, there's somebody who asked me a question.
445220	448900	I was in Minnesota and I was at a gathering and somebody asked me a question, a really
448900	449900	cool question.
449900	453740	They said, How come, you know, how can you interpret the Quran when the Prophet Sallallahu
453740	454900	alayhi wa sallam is already there?
454900	459380	He interpreted the Quran because the way to understand the Quran is through the sunnah
459380	461340	of the Prophet Sallallahu alayhi wa sallam.
461340	462860	This is a common misconception.
462860	465180	So let me just tell you how to understand that clearly.
465180	469460	The vast majority of the Quran, the Prophet has no commentary on.
469460	472060	You should know that as a matter of fact.
472060	476940	The vast majority of the Quran, when you study classical Tafsir literature, you study an
476940	479860	ayah, you're not going to find the Prophet commenting on that ayah.
479860	482180	So that's not going to be the case.
482180	487540	That happens on very rare occasions, arguably less than 1% of the time.
487540	491700	Is when you find the Prophet Sallallahu alayhi wa sallam himself commenting on an ayah.
491700	497780	Of course, there are sayings of the Prophet, alayhi sallam, that seem to be in line with
497780	501380	or seem to help us understand some ayat of the Quran better.
501380	502900	So they sync.
502900	506300	There's a synchronization between sunnah literature and the Quran.
506300	511740	But that doesn't mean the Prophet is actually sitting and doing Tafsir of the Quran directly.
511740	513140	You understand?
513140	515420	So the question that is why didn't he do that?
515420	518060	I mean, he's the best teacher to teach the Quran.
518060	521060	Why didn't he just explain every single ayah of the Quran?
521060	524900	So there's no room for any other kind of interpretation.
524900	528300	The reason he didn't do that is Allah sent this book for people to ask questions.
528420	533620	Allah said this book is for people who will contemplate his ayat,
