start	end	text
0	5520	This coming to Jumu'ah is us trying to strengthen our what?
6240	7760	Our light.
8080	9720	To reinforce our light.
9720	15560	Now, when you stand in prayer every day, five times a day, you recharge your light a little bit.
16040	16840	Okay?
16840	23280	So in cars, you need refueling every day, but every little longer, you need an oil change.
23280	25560	And a little bit longer, you need to tune up.
26160	27160	Isn't it?
31000	32800	Salamu alaikum.
32800	38760	Before you begin this video, just quickly wanted to let you know that so much of the work on the Quran has been completed on Bayna TV.
38760	44920	I want you to enjoy systematically studying the Quran from the beginning all the way to the end in brief and then in great detail.
44920	48080	And to do that, I'd like for you to sign up on bayanatv.com.
48080	55640	And once you appreciate what's going on in Bayna TV, I want you to become an ambassador for it and share that subscription with friends and family and give it as a gift also.
55640	56160	Thank you.
60000	62000	Salamu alaikum.
90160	93200	Once again, everybody, salamu alaikum wa rahmatullahi ta'ala wa l-akato.
94040	96400	We're going to start studying ayah number nine today.
96400	105480	And the first task is to try and understand the change of subject and the placement of this new final subject matter of surah al-Jumu'ah.
105480	108560	As you already know, surah al-Jumu'ah is only 11 ayat.
108560	117440	We're going to try to cover ayahs number nine and 10 today and conclude with ayah number 11 and an overview of the surah and some additional things inshallah, ta'ala, tomorrow.
117880	125560	The thing that I want you to understand is, you know, there are multiple ways to understand what is happening inside of a surah.
125560	130640	The surah of the Quran is not like a chapter in a book.
130640	137520	So I don't like the translation surah one, surah two, surah three as chapter one, chapter two, chapter three like that.
137520	143560	Because chapters, by definition, have a certain logic that everybody's familiar with.
143680	148920	Chapter three means you've or it's built on the ideas presented in chapter two, right?
148920	151240	And it depends on them in some way.
151240	158440	And if chapter three is going to need something that is going to be mentioned again from chapter two, it won't mention the whole thing again.
158440	162160	It'll just make a quick reference and then move forward, right?
162160	168920	So that's, by definition, chapters are chronological and they have a certain developmental order.
169000	174840	So you cannot start a book and go to chapter 85 if you haven't read the first 84 chapters.
174840	176480	It doesn't make any sense.
176480	179360	But in the Quran, you know that we, even kids know,
179360	185760	qulwallahu ahad, allahu samad at the end of the Quran or inna aqtainakil qawthar at the end of the Quran.
185760	193360	And even though those are the final chapters in the order of the Quran, they're not dependent on earlier material, right?
193360	196560	So it doesn't really fit the definition of chapter.
196600	199920	Surahs have their own unique identity.
199920	202120	The other thing is inside a chapter.
202120	204240	That's just the chronology of chapters.
204240	210840	But even inside a chapter, you're supposed to have a progression of ideas.
210840	216800	So you're supposed to have, you know, some kind of one subject that one chapter deals with, right?
216800	222400	And then you don't have, if you wanted to have multiple topics, then you would turn them into multiple chapters.
222400	224000	That's what you would do.
224040	229880	What happens often in the Quran is you will have one surah, but the surah might have 20 topics.
229880	231040	It might have 15 topics.
231040	232880	It might have eight different topics.
232880	234440	It doesn't feel like a chapter.
234440	237720	It almost feels like a book by itself.
237720	240760	Even it feels on its own like an entire book.
240760	248120	And even then understanding why are these different topics, why are they all together in this?
248120	251480	In this way, why is this being called a surah?
251520	253320	So I'm not using the word chapter anymore.
253320	254920	I'm using the word surah.
254920	257480	So the surah has its own logic.
257480	263880	It's not the same as the logic you find in books and chapters and poetry and other kinds of literature.
263880	266120	It's its own unique standard.
266120	276560	And one of the mistakes we make in studying the Quran is one we say, well, because you're used to reading books in literature, in poetry,
276600	283120	stories, novels, science books, mathematics books, physics books, whatever books you're reading and whatever subject you're reading,
283120	286040	they have a certain structure in a certain order.
286040	291080	We have our minds are built and programmed to process information that way.
291080	295120	And we bring those expectations to the Quran.
295120	298760	And then the Quran does not meet those expectations, clearly.
298760	302760	And then it starts feeling like the Quran is unorganized.
302800	306200	That it's because it doesn't follow the logic that we're used to.
306200	308400	It looks like it's unorganized.
308400	311160	And two things happened in our history.
311160	316880	One thing that happened in our history is our scholars, they started accepting that idea.
316880	323920	They started, many of them accepted the idea that the Quran is actually not really logically organized.
323920	327560	There's no point in exploring why is it organized this way.
327560	331640	Let's just study each ayah as a lesson from Allah.
331720	335560	And the next ayah as a next lesson from Allah and the next ayah as the next lesson from Allah.
335560	340800	And sometimes we can see that this ayah is connected to this ayah and we can describe the connection.
340800	342480	Sometimes we cannot see the connection.
342480	344360	It seems like it's completely disconnected.
344360	348960	And there you'll find that many scholars won't even discuss what just happened.
348960	351480	They'll just say, now Allah is talking about this.
351480	355120	But not say, why is he talking about this?
355120	356640	I wonder why what happened here?
356640	358720	Why did the subject change all of a second?
358720	367400	Even as an English reader of the translation of the Quran, you might notice a very abrupt, shocking change in subject.
367400	368840	Immediately without warning.
